geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04, -Log.p.value,Student's T-test q-value daf2_d10_N2_d10,log2FC,Student's T-test Test statistic daf2_d10_N2_d10,Sign p-val: 0.05 
cnb-1,-2.04087,3.80586,G5EDN6;H9G2Y1,Protein phosphatase 2B regulatory subunit cnb-1;CalciNeurin B,16.1921,16.1921,15.6648,15.9302,17.9483,18.4986,17.5109,18.1849,3.80586,3.58E-05,-2.04087,-8.38737,+
"CELE_Y32F6A,5",0.243982,0.300675,G5EDP0,Uncharacterized protein,16.6025,16.4833,17.305,17.601,16.369,16.4984,16.8595,17.289,0.300675,0.21375,0.243982,0.716846,
daf-22,-2.65518,4.52384,G5EDP2,Non-specific lipid-transfer protein-like 2,16.0491,16.2062,16.0642,16.3841,19.4878,18.5524,18.5453,18.7388,4.52384,0,-2.65518,-11.2203,+
fmo-1,-0.89216,1.05067,G5EDP6,Flavin-containing monooxygenase,14.1383,14.1384,12.3647,13.1103,14.4827,14.4178,14.1013,14.3186,1.05067,0.0159758,-0.89216,-2.02737,+
clh-1,-3.36409,5.2398,G5EDQ0;Q22833,Chloride channel protein,15.0397,14.2921,14.2555,14.9705,18.1081,17.8113,17.942,18.1529,5.2398,0,-3.36409,-14.8975,+
hmg-12,-1.53061,3.8302,G5EDQ2,HMG,15.9866,16.0367,15.5637,15.6766,17.3523,17.1765,17.1218,17.7355,3.8302,0,-1.53061,-8.47191,+
cle-1,-1.9537,4.60638,G5EDQ4,CLE-1C protein,17.3553,17.4161,17.6519,17.669,19.1811,19.8876,19.4076,19.4308,4.60638,0,-1.9537,-11.5962,+
"CELE_Y66A7A,7",-0.854889,0.877914,G5EDQ7,Uncharacterized protein,13.5431,14.6888,13.6003,12.3615,14.3416,14.3663,14.1579,14.7474,0.877914,0.0278509,-0.854889,-1.74027,+
sur-6,-2.29122,3.99375,G5EDR3,Serine/threonine-protein phosphatase 2A regulatory subunit sur-6,15.4465,15.7418,15.6071,15.8731,18.4428,17.4275,17.7079,18.2551,3.99375,0,-2.29122,-9.05922,+
pod-1,-1.90067,3.29749,G5EDS2;K8F7Z0,POD-1;Uncharacterized protein,15.5996,15.5221,15.2536,15.377,17.3377,16.8052,17.1343,18.0778,3.29749,2.55E-05,-1.90067,-6.77808,+
exos-7,-1.07318,2.40816,G5EDS8,EXOSome (Multiexonuclease complex) component,13.5934,13.652,13.7085,13.9662,15.1737,14.9484,14.1604,14.9304,2.40816,0.000448964,-1.07318,-4.54633,+
lin-35,-3.50549,6.4648,G5EDT1,Synthetic multivulva protein LIN-35 Rb,10.7155,10.8138,10.7994,10.751,14.1911,14.0449,14.1683,14.6973,6.4648,0,-3.50549,-24.0095,+
"CELE_T01D3,6",0.0416658,0.0354401,G5EDT4;G5EEP7,Uncharacterized protein,16.8378,17.0062,16.5306,16.7772,17.2594,15.7575,17.4887,16.4796,0.0354401,0.825712,0.0416658,0.102582,
ubr-5,-0.785685,1.13464,G5EDT9,UBR E3 ubiquitin ligase homolog,13.1834,13.2382,13.0115,11.7871,13.669,13.484,13.3315,13.8786,1.13464,0.0123054,-0.785685,-2.16722,+
pld-1,-3.90069,5.21337,G5EDU3,PhosphoLipase D,12.5892,13.4344,12.9004,12.7598,17.1069,16.971,16.2566,16.9519,5.21337,0,-3.90069,-14.7436,+
cyk-3,-3.73375,6.91279,G5EDU8;Q8WT44,CYtoKinesis defect,10.7184,10.6345,10.7963,10.7231,14.3915,14.3438,14.2509,14.8212,6.91279,0,-3.73375,-28.5511,+
"CELE_E01G4,6",-3.16396,2.24499,G5EDV0,Uncharacterized protein,12.8436,14.8693,12.7209,15.6932,17.132,17.0028,17.0546,17.5935,2.24499,0.000644886,-3.16396,-4.19955,+
cey-4,-2.30216,3.81818,G5EDV3,"C, Elegans Y-box",18.3631,18.2651,18.9472,18.5281,20.2698,21.3818,20.7823,20.8783,3.81818,3.61E-05,-2.30216,-8.43006,+
istr-1,-1.31513,2.60148,G5EDV6,Increased Sodium Tolerance Related,16.0184,16.1612,15.9997,16.4464,17.3869,17.7474,16.8246,17.9272,2.60148,0.000279108,-1.31513,-4.97935,+
"CELE_Y53H1B,2",0.19105,0.253573,G5EDV7,Uncharacterized protein,16.5624,16.2836,16.8175,16.688,15.6447,16.2888,16.6962,16.9576,0.253573,0.262375,0.19105,0.620521,
adbp-1,1.11612,3.22931,G5EDW1,2L737,15.5827,15.9034,15.56,15.707,14.4596,14.3335,14.4838,15.0118,3.22931,7.12E-05,1.11612,6.583,+
"CELE_VF13D12L,3",-0.916918,3.36469,G5EDW8,Uncharacterized protein,16.3263,16.6098,16.2281,16.6962,17.5684,17.2474,17.3149,17.3975,3.36469,2.65E-05,-0.916918,-6.97486,+
fbxa-101,-3.69304,5.04006,G5EDX9,F-box A protein,10.6133,10.8124,10.707,10.6301,14.1536,13.9499,14.2818,15.1497,5.04006,0,-3.69304,-13.7713,+
wars-1,-2.44884,5.58968,G5EDY2,Tryptophanyl(W) Amino-acyl tRNA Synthetase,16.2693,16.2832,16.1255,16.5703,18.5865,18.564,18.9925,18.9006,5.58968,0,-2.44884,-17.0856,+
skr-7,-2.09959,1.86353,G5EDY3,SKR-7,15.8694,15.8013,15.2878,14.9103,18.3444,17.7023,18.2929,15.9275,1.86353,0.00151551,-2.09959,-3.44647,+
drp-1,-1.86123,1.75767,G5EDY8;Q8WQC9,Dynamin-Related Protein,14.5738,14.5551,14.3504,14.8317,15.5439,15.9171,16.2142,18.0807,1.75767,0.00219171,-1.86123,-3.24977,+
umps-1,-0.433988,0.669081,G5EDZ2,Uridine 5'-monophosphate synthase,16.0653,16.2383,15.9227,16.0606,16.4757,15.728,16.6018,17.2175,0.669081,0.0543592,-0.433988,-1.38881,
unc-43,-1.98539,2.44946,G5EDZ5;O62305,Uncharacterized protein;Calcium/calmodulin-dependent protein kinase type II,15.2268,15.8666,15.7211,15.7825,16.8486,17.7523,17.2284,18.7093,2.44946,0.000455657,-1.98539,-4.63674,+
"C01B4,7",-3.95422,3.72593,G5EDZ6,Uncharacterized protein,10.6834,10.8378,10.6247,10.7349,13.6562,15.0454,15.8469,14.1492,3.72593,3.36E-05,-3.95422,-8.11495,+
cdr-4,-0.571693,0.977855,G5EDZ7,CaDmium Responsive,15.7815,15.81,15.8108,16.2837,15.7562,16.6043,16.5301,17.0821,0.977855,0.020512,-0.571693,-1.9064,+
cpi-1,2.9439,4.14217,G5EDZ9,Cystatin,20.3634,20.28,20.0376,20.5459,17.5321,16.5844,17.3764,17.9584,4.14217,0,2.9439,9.62295,+
daf-18,-0.544635,1.36475,G5EE01,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase daf-18",13.7513,13.6822,13.1905,13.1559,13.8695,13.6403,14.2198,14.2288,1.36475,0.00625585,-0.544635,-2.55538,+
hip-1,-2.04386,5.65241,G5EE04,Hsp-70 Interacting Protein homolog,19.4879,19.3836,19.3775,19.6022,21.3033,21.4102,21.5256,21.7875,5.65241,0,-2.04386,-17.5093,+
ccr-4,-1.86915,2.3123,G5EE09;Q8I4B4;Q9U1P4,CCR (Yeast CCR4/NOT complex component) homolog,14.0357,14.2515,14.1694,14.1782,15.5783,16.1047,15.2335,17.1949,2.3123,0.000564158,-1.86915,-4.34063,+
"CELE_F39H2,3",-0.735636,0.892343,G5EE11,Uncharacterized protein,15.4791,15.7943,15.9595,15.9539,17.1959,16.0757,15.6339,17.2238,0.892343,0.0267727,-0.735636,-1.76429,+
cash-1,-0.261007,0.58172,G5EE12,CKA And Striatin Homolog,15.3213,14.994,15.1806,15.458,15.5533,15.3434,15.9881,15.1131,0.58172,0.0733019,-0.261007,-1.23792,
ptr-23,-1.23303,1.88279,G5EE13,PaTched Related family,13.1248,13.2713,12.1651,13.4533,13.8316,14.4167,13.968,14.7304,1.88279,0.00142253,-1.23303,-3.48277,+
cua-1,-0.907031,2.29935,G5EE14,CU (Copper) ATPase,13.7407,12.7855,13.3286,13.3717,14.0015,14.2642,14.3463,14.2426,2.29935,0.000599566,-0.907031,-4.31329,+
"C44H4,4",-1.76292,3.07897,G5EE16,Uncharacterized protein,14.0519,13.6236,13.478,14.2775,15.7073,16.0116,15.7644,14.9992,3.07897,6.57E-05,-1.76292,-6.16839,+
"CELE_T04F3,1",-1.64197,4.21409,G5EE32;G5EGD0,Uncharacterized protein,14.4787,14.7025,14.3393,14.5994,15.8936,16.2511,15.9955,16.5477,4.21409,0,-1.64197,-9.9072,+
"CELE_W04E12,7",-0.912867,3.01062,G5EE34,Uncharacterized protein,14.6986,14.9387,14.6992,14.7394,16.078,15.6895,15.502,15.4578,3.01062,6.36E-05,-0.912867,-5.98669,+
"hsp-12,6",0.359198,0.213437,G5EE36,Heat Shock Protein,16.1544,15.9222,16.6794,16.8754,16.0158,14.5587,15.964,17.6561,0.213437,0.316465,0.359198,0.535233,
icp-1,-2.07404,6.16501,G5EE37,InCenP homolog,14.5141,14.7554,14.4307,14.5483,16.4406,16.6725,16.7581,16.6735,6.16501,0,-2.07404,-21.375,+
srp-1,-0.0804875,0.0418231,G5EE40,SeRPin,14.9313,14.814,15.1582,15.0357,16.0426,15.8765,15.1949,13.1472,0.0418231,0.797594,-0.0804875,-0.120277,
cuc-1,-1.46956,3.6568,G5EE41,CU (Copper) Chaperonin,16.0212,16.7885,16.0607,16.3334,17.7101,17.6811,17.7475,17.9433,3.6568,3.18E-05,-1.46956,-7.88547,+
"CELE_ZK1098,11",-1.03196,1.84071,G5EE42,Uncharacterized protein,17.3288,17.5019,16.8695,17.3022,18.3285,18.0707,17.7233,19.0079,1.84071,0.00168075,-1.03196,-3.40366,+
"CELE_F54D5,12",-0.677647,2.34998,G5EE46,Uncharacterized protein,16.0093,15.926,15.8823,16.0479,16.6938,16.9216,16.2238,16.7368,2.34998,0.000512518,-0.677647,-4.42081,+
ttr-50,-0.39652,0.192703,G5EE48,TransThyretin-Related family domain,18.7981,18.8776,18.3847,19.0083,19.9248,17.1049,18.8161,20.8091,0.192703,0.349614,-0.39652,-0.489828,
src-1,-3.63479,4.72724,G5EE56,Tyrosine protein-kinase src-1,10.5523,10.7302,10.6846,10.8032,14.2154,14.3578,13.6537,15.0825,4.72724,0,-3.63479,-12.1676,+
"CELE_F12F6,1",-1.40333,1.24013,G5EE62,Uncharacterized protein,13.4364,13.7903,12.55,11.5284,14.4185,14.1627,13.3969,14.9404,1.24013,0.00904288,-1.40333,-2.34402,+
skr-3,-2.73496,4.06191,G5EE67,SKR-3,16.5083,16.5907,16.4093,16.6417,19.5294,18.6883,18.915,19.957,4.06191,0,-2.73496,-9.31435,+
mrp-5,-0.737457,1.14041,G5EE72,Uncharacterized protein,14.9102,15.2619,15.5816,15.8397,15.5793,15.7679,16.4986,16.6973,1.14041,0.0121838,-0.737457,-2.17685,+
nud-1,-1.39494,3.23405,G5EE74,Aspergillus NUclear Division related,16.7544,16.8041,16.6543,16.7857,18.0718,17.9655,17.794,18.7471,3.23405,7.12E-05,-1.39494,-6.59641,+
SRP54,-1.08706,1.73086,G5EE80,Signal recognition particle 54 kDa protein,15.1268,15.2557,14.6879,15.1298,15.4024,16.5469,15.8316,16.7675,1.73086,0.00226207,-1.08706,-3.20068,+
cdr-1,5.03298,2.81863,G5EE89,CaDmium Responsive,20.9047,16.7659,19.9485,19.9469,14.0205,14.2543,14.4525,14.7067,2.81863,0.000100946,5.03298,5.49754,+
"CELE_F09B9,4",-3.01516,2.1346,G5EE90,Uncharacterized protein,16.5999,16.8547,16.4556,15.6602,18.9679,18.5132,18.6211,21.5289,2.1346,0.000796726,-3.01516,-3.9738,+
slc-25a10,-0.214053,0.309749,G5EE96,Oxoglutarate/malate carrier protein,16.8111,16.9507,17.0609,17.1403,17.4883,16.7633,17.8621,16.7055,0.309749,0.205114,-0.214053,-0.734995,
lpr-3,-2.077,2.9441,G5EEA2,LiPocalin-Related protein,12.5323,12.6237,11.5026,11.808,13.7968,14.1349,13.9945,14.8485,2.9441,8.68E-05,-2.077,-5.81374,+
nex-1,-3.10856,4.03971,G5EEA8,Annexin,17.7174,17.6253,18.6695,18.6948,21.3219,21.5162,20.8021,21.5011,4.03971,0,-3.10856,-9.23056,+
dpy-14,-1.00991,2.34772,G5EEB6,COLlagen structural,13.1636,13.0199,13.9964,13.2547,14.3875,14.4055,14.1763,14.505,2.34772,0.000511953,-1.00991,-4.41598,+
vab-10,-2.08357,5.88866,G5EEC4;G5EFW2,VAB-10A protein;Uncharacterized protein,18.1799,17.9288,18.3467,18.3993,20.3519,20.3097,20.2366,20.2908,5.88866,0,-2.08357,-19.1981,+
scm-1,-2.51275,6.18763,G5EED5,Secretory carrier-associated membrane protein,14.8464,14.8155,14.8244,14.6842,17.174,17.25,17.1653,17.6322,6.18763,0,-2.51275,-21.5635,+
fut-6,-1.1219,2.33598,G5EEE1,"Alpha-(1,3)-fucosyltransferase fut-6",13.7078,13.2472,13.1033,13.3532,14.2857,14.2506,14.2272,15.1356,2.33598,0.000530792,-1.1219,-4.39093,+
elo-1,-0.653039,0.799453,G5EEE5,Elongation of very long chain fatty acids protein,17.796,17.6823,17.877,18.1163,18.1932,18.5826,17.7244,19.5835,0.799453,0.0358283,-0.653039,-1.60924,+
spas-1,-2.1862,3.44707,G5EEF8;Q8MNV0,SPAStin (Human neurodegeneration-associated AAA ATPase) related;Probable spastin homolog spas-1,13.6807,14.2546,13.2631,14.3366,15.9718,15.6953,16.4916,16.1211,3.44707,2.78E-05,-2.1862,-7.22237,+
mce-1,1.93033,3.90302,G5EEG4,Methylmalonyl-CoA Epimerase,18.0922,18.4166,18.2713,18.4045,15.7429,16.5529,16.596,16.5714,3.90302,0,1.93033,8.72915,+
"CELE_T09F3,2",1.73334,3.20118,G5EEG6,Carrier protein (C2),16.2314,16.2135,15.8559,15.2657,14.148,14.1043,13.8476,14.5333,3.20118,7.01E-05,1.73334,6.50383,+
smu-1,-0.894465,1.69154,G5EEG7,SMU-1,13.4134,13.5361,13.754,12.5795,14.1137,13.9154,14.3543,14.4775,1.69154,0.00251557,-0.894465,-3.12921,+
frm-1,-2.08992,5.69033,G5EEG8,"FERM domain (Protein4,1-ezrin-radixin-moesin) family",16.8862,16.8044,16.8318,17.1313,18.79,18.9998,18.9889,19.2346,5.69033,0,-2.08992,-17.7703,+
ivd-1,-2.90297,5.1833,G5EEH6,IsoValeryl-CoA Dehydrogenase,15.7626,16.2135,15.9199,15.9701,18.9096,18.3687,19.1807,19.019,5.1833,0,-2.90297,-14.5704,+
npp-10,-1.76314,4.16579,G5EEH9,Nuclear pore complex protein Nup98-Nup96,15.8622,15.9768,15.8903,16.0604,17.4525,17.6293,17.5336,18.2269,4.16579,0,-1.76314,-9.71547,+
asp-1,-1.58273,2.1123,G5EEI4,ASpartyl Protease,19.218,19.1437,18.8121,18.2309,21.3618,20.2802,20.3266,19.7669,2.1123,0.000839757,-1.58273,-3.92901,+
chp-1,-1.9559,2.57506,G5EEI8,CHORD Protein,14.426,14.2511,13.6735,13.636,15.1987,15.5584,16.4014,16.6516,2.57506,0.000327448,-1.9559,-4.91868,+
"CELE_K11D9,3",-1.19231,2.93598,G5EEI9,Uncharacterized protein,12.9952,13.5664,13.2502,13.4188,14.4609,14.1502,14.4407,14.948,2.93598,8.62E-05,-1.19231,-5.79288,+
msd-2,0.107197,0.037513,G5EEJ7,Major Sperm protein Domain containing,17.6193,17.3856,17.5174,17.8988,14.9466,17.3534,19.6939,17.9985,0.037513,0.816787,0.107197,0.108353,
aqp-4,0.175652,0.280825,G5EEK0,AQuaPorin or aquaglyceroporin related,14.1898,14.8686,14.8793,15.0589,14.4752,14.356,14.3696,15.0931,0.280825,0.232,0.175652,0.676702,
golg-4,-1.86526,4.0489,G5EEK2,GOLGi associated coiled-coil protein homolog,14.1258,14.1528,13.5486,14.1428,15.953,15.5796,15.7041,16.1943,4.0489,0,-1.86526,-9.26518,+
sca-1,-1.53925,3.8604,G5EEK8,Calcium-transporting ATPase,18.8671,18.8986,18.7622,18.8542,20.3209,20.458,19.952,20.8083,3.8604,0,-1.53925,-8.57777,+
vha-5,-1.70498,4.08132,G5EEK9,V-type proton ATPase subunit a,17.5141,17.6188,17.8064,17.1738,18.8708,19.3325,19.2993,19.4303,4.08132,0,-1.70498,-9.38816,+
alp-1,-0.092608,0.151178,G5EEL1,ALP/Enigma encoding,16.597,16.4249,16.9431,17.2304,16.4542,16.9633,17.0171,17.1313,0.151178,0.431507,-0.092608,-0.395677,
plrg-1,-2.88268,2.57925,G5EEL2,PLeiotropic ReGulator (Vertebrate) homolog,14.8513,15.6355,14.6597,14.6995,17.8627,17.5158,16.71,19.2881,2.57925,0.000303736,-2.88268,-4.92826,+
hmg-11,-1.20862,1.93962,G5EEL9,HMG,19.3809,19.0703,19.5481,19.217,19.8629,21.3927,20.4636,20.3316,1.93962,0.0012492,-1.20862,-3.59089,+
gmn-1,-2.58152,3.7357,G5EEM1,GeMiNin homolog,12.1019,11.2365,12.5059,12.0481,14.3329,14.409,14.408,15.0685,3.7357,3.38E-05,-2.58152,-8.14785,+
clec-248,1.56112,2.37906,G5EEM2,C-type LECtin,15.4215,15.4553,15.4108,15.7782,14.0364,13.3395,13.577,14.8684,2.37906,0.000466642,1.56112,4.48328,+
zyg-9,-1.6159,2.86387,G5EEM5,Zygote defective protein 9,14.9879,15.0998,15.1866,15.0586,16.6969,16.2839,16.3097,17.5059,2.86387,8.25E-05,-1.6159,-5.61008,+
tap-1,-0.439434,1.32259,G5EEM6,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,13.7189,13.8843,13.4781,13.4865,14.3881,14.1847,13.6877,14.065,1.32259,0.00696136,-0.439434,-2.48351,+
fars-2,-2.08643,2.82156,G5EEN1,Phenylalanyl Amino-acyl tRNA Synthetase,14.0656,14.5736,13.7521,14.6216,15.6069,16.2361,17.1463,16.3694,2.82156,0.000101037,-2.08643,-5.50478,+
gck-3,0.164127,0.324322,G5EEN4,Germinal center kinase 3,14.9577,14.5359,14.504,14.2657,14.2911,14.1609,14.2826,14.8721,0.324322,0.193559,0.164127,0.763892,
"CELE_Y39A1A,3",-4.8307,3.41851,G5EEN7,Uncharacterized protein,13.8249,13.5501,12.4522,12.862,16.9141,17.4554,17.9577,19.6848,3.41851,2.73E-05,-4.8307,-7.13576,+
"CELE_F41E7,9",0.305207,0.272574,G5EEQ1,Uncharacterized protein,16.7201,16.9439,15.9913,16.3212,16.6726,15.2198,15.8231,17.0401,0.272574,0.240745,0.305207,0.659828,
nkcc-1,-0.923811,0.848015,G5EEQ4;G5EFE5;H8ESD4;H8ESD5;L8E912,Na-K-Cl Cotransporter homolog,12.0369,14.0754,13.5424,12.6802,14.4,14.1083,13.1107,14.4111,0.848015,0.0303624,-0.923811,-1.69043,+
sftb-1,-1.74091,4.79621,G5EEQ8,Splicing Factor ThreeB (3b) Subunit homolog,15.0945,14.9972,14.9825,15.2279,16.7467,16.7262,16.6063,17.1866,4.79621,0,-1.74091,-12.5054,+
ger-1,1.11118,1.32957,G5EER4,GDP-L-fucose synthase,15.4687,16.24,14.6767,14.9184,13.6978,13.8356,14.4145,14.9112,1.32957,0.00675582,1.11118,2.49539,+
alg-1,-2.42373,2.80464,G5EES3;G5EGR6,Protein argonaute,15.8315,15.71,15.6672,15.8979,18.1706,18.1166,17.1817,19.3327,2.80464,9.99E-05,-2.42373,-5.46308,+
ufd-3,-1.64336,1.75614,G5EES6;G5EFK5,Ubiquitin Fusion Degradation (Yeast UFD homolog),15.308,15.4162,15.219,15.3625,17.6361,17.3838,17.3923,15.4669,1.75614,0.00220894,-1.64336,-3.24695,+
nspd-5,-0.228064,0.226966,G5EES8,"Nematode Specific Peptide family, group D",14.8215,13.5133,13.7711,14.3601,13.7513,14.1677,14.383,15.0763,0.226966,0.29715,-0.228064,-0.564346,
txl-1,-2.44406,2.16081,G5EES9,ThioredoXin-Like,14.1536,14.2914,14.9237,14.503,17.0691,17.8472,17.5029,15.2288,2.16081,0.000759215,-2.44406,-4.02678,+
dut-1,-2.06015,3.35509,G5EET2,DeoxyUTPase,14.6156,15.1096,14.8285,14.9703,16.9146,16.8646,16.3181,17.6673,3.35509,2.63E-05,-2.06015,-6.94646,+
cdr-6,1.17626,2.03789,G5EET3,CaDmium Responsive,15.8999,15.6082,15.2822,15.5773,13.7536,14.3243,14.4462,15.1384,2.03789,0.0010789,1.17626,3.78147,+
hpl-1,-4.46693,3.05771,G5EET5,HP1 Like (Heterochromatin protein),10.4369,10.8625,7.87606,10.6467,14.3006,14.2409,14.0942,15.0541,3.05771,6.51E-05,-4.46693,-6.11142,+
"pud-1,2",-0.0535817,0.0648436,G5EET8,Protein Up-regulated in Daf-2(Gf),18.9866,18.8252,19.3102,18.6808,19.0882,18.3247,19.5942,19.0099,0.0648436,0.698054,-0.0535817,-0.182362,
nbet-1,-2.02036,2.03088,G5EEU1,BET1,14.0803,14.0558,14.1462,14.058,16.3943,16.6742,14.5211,16.8321,2.03088,0.00107429,-2.02036,-3.76772,+
pud-3,1.70393,2.55325,G5EEV5,5C820,17.4287,17.6579,16.9748,17.414,15.0359,15.6599,15.4214,16.5425,2.55325,0.000346032,1.70393,4.86894,+
"C18B12,6",-0.522,0.824018,G5EEW1,Uncharacterized protein,13.3378,13.1839,14.0892,13.4674,13.3136,14.3916,14.1876,14.2735,0.824018,0.0328347,-0.522,-1.65036,+
"CELE_F54E12,2",-5.56178,1.78953,G5EEW5,Uncharacterized protein,3.7895,10.8469,9.82456,10.6304,14.3614,13.9459,14.4782,14.5529,1.78953,0.00193521,-5.56178,-3.30847,+
sig-7,-2.82916,3.63776,G5EEW6,Peptidyl-prolyl cis-trans isomerase sig-7,13.3915,13.6591,12.3273,12.9573,15.9326,15.5365,15.6733,16.5095,3.63776,3.14E-05,-2.82916,-7.82323,+
asd-1,-1.31945,2.53179,G5EEW7;M1ZJT7;Q86G94,RNA-binding protein ASD-1;Uncharacterized protein;Uncharacterized protein,13.1227,12.8841,13.0693,13.7908,14.4944,14.3515,14.2211,15.0777,2.53179,0.000384101,-1.31945,-4.82033,+
pbrm-1,-0.842138,0.570423,G5EEY5,PolyBRoMo domain containing,14.5245,13.8911,14.4198,11.6736,14.2591,14.4214,14.1887,15.0083,0.570423,0.0762511,-0.842138,-1.21815,
"CELE_ZK1010,2",-1.20376,1.65517,G5EEZ0,Uncharacterized protein,13.8202,14.5941,14.418,13.4291,14.9287,14.6407,15.7108,15.7963,1.65517,0.00275323,-1.20376,-3.06362,+
"CELE_W09G3,7",-1.02679,2.32349,G5EEZ1,Uncharacterized protein,13.2304,13.0542,12.2887,12.9181,14.208,13.7137,13.9459,13.7309,2.32349,0.000528467,-1.02679,-4.36435,+
3E324,0.410613,0.91097,G5EEZ4,3E324,15.0305,15.2348,14.6643,14.833,14.3235,14.6953,14.118,14.9833,0.91097,0.025272,0.410613,1.79528,+
tbb-6,0.116125,0.190195,G5EF01,Tubulin beta chain,17.6393,17.7343,17.4844,17.6785,17.2947,17.1424,18.1951,17.4398,0.190195,0.353415,0.116125,0.484268,
"CELE_W07E11,1",-0.8006,3.40435,G5EF05,Uncharacterized protein,17.3926,17.3703,17.5494,17.4037,18.0927,18.3385,18.0177,18.4694,3.40435,2.72E-05,-0.8006,-7.09316,+
ncx-1,-1.89886,4.87538,G5EF08;Q1RPT9,Na/Ca eXchangers,13.4861,13.0046,13.4826,13.3517,15.1805,15.2162,15.037,15.4868,4.87538,0,-1.89886,-12.9038,+
efl-1,-1.36121,1.79683,G5EF11,E2F-like (Mammalian transcription factor),12.4146,12.9415,12.5612,13.5275,14.3833,14.2289,13.3529,14.9246,1.79683,0.00190482,-1.36121,-3.32199,+
5N226,-0.923658,1.97034,G5EF26,"Putative low density lipoprotein receptor associated protein (37,4 kD)",14.8913,15.0539,14.5206,14.8306,15.3134,15.8178,15.5063,16.3536,1.97034,0.00113953,-0.923658,-3.64997,+
fbxa-136,-0.785414,1.28026,G5EF28;G5EGC2,F-box A protein,15.9099,15.5426,15.4869,16.1158,16.235,16.4441,16.1247,17.393,1.28026,0.00804272,-0.785414,-2.41175,+
npa-1,-1.12894,4.33751,G5EF32,Nematode Polyprotein Allergen related,20.6586,20.5628,20.5618,20.5224,21.7959,21.523,21.5447,21.9578,4.33751,0,-1.12894,-10.4127,+
pat-10,-1.68016,3.86964,G5EF37,Paralysed Arrest at Two-fold,17.9373,17.7799,18.3417,18.287,19.4303,19.8554,19.6857,20.095,3.86964,0,-1.68016,-8.61039,+
snf-11,-0.146299,0.318381,G5EF43,Transporter,14.324,13.9585,14.6123,14.5027,14.3906,14.4058,14.3018,14.8845,0.318381,0.198444,-0.146299,-0.752147,
"CELE_Y63D3A,8",-1.79429,3.2776,G5EF48,Uncharacterized protein,14.0207,14.0836,13.9403,13.8264,15.9692,15.437,15.2453,16.3967,3.2776,2.52E-05,-1.79429,-6.72072,+
swsn-4,-2.17547,3.67201,G5EF53,SWI/SNF nucleosome remodeling complex component,14.1404,14.1805,14.2409,14.2436,17.1827,15.9762,16.2082,16.1401,3.67201,3.22E-05,-2.17547,-7.93547,+
"CELE_Y106G6A,4",-1.62023,1.13849,G5EF57,Uncharacterized protein,13.4362,13.7275,13.1327,10.6233,14.3344,13.8154,14.365,14.8859,1.13849,0.0122147,-1.62023,-2.17363,+
ipla-7,-2.7422,4.45214,G5EF58,Intracelllar PhosphoLipase A family,11.2604,10.846,10.637,10.7884,13.8215,13.2586,14.1335,13.2869,4.45214,0,-2.7422,-10.903,+
"CELE_Y66A7A,2",-0.434662,1.63002,G5EF59,Ribonuclease P/MRP protein subunit POP5,14.0365,13.9882,13.9853,14.1903,14.3193,14.3744,14.3548,14.8903,1.63002,0.00300789,-0.434662,-3.01853,+
stim-1,-2.39534,4.82473,G5EF60,Stromal interaction molecule 1,14.903,14.872,14.6774,15.0318,17.0027,16.9847,17.354,17.7241,4.82473,0,-2.39534,-12.6475,+
ndg-4,-0.668381,1.74425,G5EF61;Q86MD1,Transmembrane protein NDG-4;Uncharacterized protein,13.3801,13.7084,14.1638,13.8464,14.1774,14.4322,14.3695,14.7932,1.74425,0.00225203,-0.668381,-3.22516,+
sqv-1,-2.21942,4.45882,G5EF65;X5M5R6,SQuashed Vulva,12.5371,12.2513,11.9727,12.5091,14.2681,14.4463,14.4509,14.9825,4.45882,0,-2.21942,-10.9322,+
sars-2,-2.41657,3.26253,G5EF77,Seryl Amino-acyl tRNA Synthetase,14.0394,14.1309,14.3654,14.731,16.7538,17.1212,15.8038,17.2542,3.26253,2.49E-05,-2.41657,-6.6775,+
"CELE_K01G5,9",-3.84217,5.50802,G5EF83,Uncharacterized protein,10.702,10.8088,10.3958,10.6811,14.2502,14.1865,14.4006,15.1191,5.50802,0,-3.84217,-16.5489,+
gip-2,-1.32839,0.870912,G5EF84,Gamma-tubulin interacting protein 2,13.0849,13.6412,13.3579,11.1047,14.4815,12.7496,14.1004,15.1707,0.870912,0.0282745,-1.32839,-1.72861,+
"CELE_Y48G10A,1",-1.96097,2.11749,G5EF86,S-formylglutathione hydrolase,15.4313,15.5201,15.3895,15.4168,16.875,16.997,16.8416,18.888,2.11749,0.000813008,-1.96097,-3.93941,+
swsn-1,-1.64182,4.23412,G5EF87;H8ESF3,SWI/SNF nucleosome remodeling complex component,15.4867,15.8319,15.8497,15.7487,17.6343,17.4999,16.9785,17.3716,4.23412,0,-1.64182,-9.98769,+
