geneName,log2FC,pvalue,Leading.proteins,Proteins,Protein.names,Positions.within.proteins,Localization.prob,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04, -Log.p.value, Student's T-test q-value N2_d10_N2_d5,log2FC,Student's T-test Test statistic N2_d10_N2_d5,Sign p-val: 0.05 
lea-1,1.60389,1.47751,H2FLK8,H2FLK8;H2FLL1;G5EEF0;H2FLL0;G5EBW6,,1327;1343;1255;1295;502,1,24.9767,24.7619,24.3006,23.1128,22.6411,22.7069,21.6942,23.6942,1.47751,0.00702662,1.60389,2.74973,+
lea-1,-1.93905,2.29715,H2FLK8;H2FLK9,H2FLK8;H2FLL1;G5EEF0;H2FLL0;H2FLK3;H2FLK5;G5EFU3;H2FLK4;H2FLK9;H2FLK7;G5EDH9;H2FLK6,,330;346;258;298;330;346;258;298;330;346;258;298,0.999995,22.7005,22.1486,23.8441,21.8118,24.5875,24.4363,24.5017,24.7357,2.29715,0.00135693,-1.93905,-4.30864,+
lea-1,-3.34441,2.39953,H2FLK8;H2FLK9,H2FLK8;H2FLL1;G5EEF0;H2FLL0;H2FLK3;H2FLK5;G5EFU3;H2FLK4;H2FLK9;H2FLK7;G5EDH9;H2FLK6,,334;350;262;302;334;350;262;302;334;350;262;302,1,19.7228,20.0669,22.1027,19.5224,23.5496,22.5644,24.646,24.0325,2.39953,0.00110226,-3.34441,-4.52758,+
lea-1,-0.327741,0.201068,H2FLK8;H2FLK9,H2FLK8;H2FLL1;G5EEF0;H2FLL0;G5EBW6;H2FLK9;H2FLK7;G5EDH9;H2FLK6;I2HAL0;G5EGB8,,1343;1359;1271;1311;518;1160;1176;1088;1128;703;459,0.999998,25.1003,22.7742,24.7414,23.2155,24.0737,23.8125,24.0735,25.1826,0.201068,0.405063,-0.327741,-0.508267,
lea-1,-3.56401,3.85142,H2FLK8;H2FLK9,H2FLK8;H2FLL1;G5EEF0;H2FLL0;G5EBW6;H2FLK9;H2FLK7;G5EDH9;H2FLK6;I2HAL0;G5EGB8,,1349;1365;1277;1317;524;1166;1182;1094;1134;709;465,1,20.823,20.5206,20.6683,19.4241,24.3636,23.9827,23.147,24.1988,3.85142,0.000250627,-3.56401,-8.54615,+
lea-1,1.03884,1.25409,H2FLK8;H2FLK9,H2FLK8;H2FLL1;G5EEF0;H2FLL0;G5EBW6;H2FLK9;H2FLK7;G5EDH9;H2FLK6;I2HAL0;G5EGB8,,1357;1373;1285;1325;532;1174;1190;1102;1142;717;473,1,25.5516,23.83,24.1553,23.7591,23.1363,23.0118,23.3827,23.6099,1.25409,0.012288,1.03884,2.36754,+
lea-1,-1.85732,1.94609,H2FLK8;H2FLK9,H2FLK8;H2FLL1;G5EEF0;H2FLL0;H2FLK3;H2FLK5;G5EFU3;H2FLK4;H2FLK9;H2FLK7;G5EDH9;H2FLK6;I2HAL0,,80;96;8;48;80;96;8;48;80;96;8;48;96,1,18.1266,20.3942,19.4916,19.7337,21.7752,20.9028,21.4426,21.0547,1.94609,0.00253641,-1.85732,-3.60329,+
lea-1,0.611717,0.471232,H2FLK9,H2FLK9;H2FLK7;G5EDH9;H2FLK6;I2HAL0;G5EGB8,,1137;1153;1065;1105;680;436,1,24.2544,25.6829,23.4268,23.6333,23.1752,23.0892,24.0932,24.193,0.471232,0.141936,0.611717,1.04126,
lea-1,0.339252,0.185416,H2FLK9,H2FLK9;H2FLK7;G5EDH9;H2FLK6;I2HAL0;G5EGB8,,1144;1160;1072;1112;687;443,1,21.3474,24.1363,23.6546,23.1128,22.6411,22.7069,21.8519,23.6942,0.185416,0.432219,0.339252,0.473631,
lea-1,-1.71049,2.81841,H2FLK9,H2FLK9;H2FLK7;G5EDH9;H2FLK6;I2HAL0;G5EGB8,,1131;1147;1059;1099;674;430,1,24.1739,24.2151,24.8932,24.5123,26.3524,26.0501,25.4935,26.7405,2.81841,0.00047342,-1.71049,-5.497,+
,-8.35503,6.26026,H2KYH5,H2KYH5;Q95QX5,,232;266,1,19.8549,19.4994,20.4002,19.375,27.9375,27.5458,28.1051,28.9613,6.26026,0,-8.35503,-22.1797,+
,-1.59023,0.796719,H2KYH5,H2KYH5;Q95QX5;Q86GT7,,372;406;109,0.99996,16.8804,20.3817,19.0707,20.7649,21.6544,19.83,20.3389,21.6353,0.796719,0.0458192,-1.59023,-1.60466,+
,-4.7382,4.06931,H2KYH5,H2KYH5;Q95QX5;Q86GT7,,384;418;121,1,21.0463,20.4892,19.9889,19.5062,25.3616,25.8317,24.0635,24.7266,4.06931,0.000319489,-4.7382,-9.34242,+
,1.42195,0.410314,H2KYH5,H2KYH5;Q95QX5;Q86GT7,,309;343;46,1,28.6394,27.3979,28.9385,25.0433,29.2983,24.9961,23.4504,26.5866,0.410314,0.177366,1.42195,0.928941,
,-3.11329,5.88066,H2KYH5,H2KYH5;Q95QX5;Q86GT7,,324;358;61,1,23.4309,23.4778,23.7367,23.7892,26.8572,26.6844,26.3606,26.9857,5.88066,0,-3.11329,-19.1384,+
,-7.02698,3.8934,H2KYH5,H2KYH5;Q95QX5;Q86GT7,,334;368;71,1,18.0343,20.1213,18.0792,21.279,26.0714,26.3785,26.5569,26.6148,3.8934,0.000265252,-7.02698,-8.69479,+
,-5.82527,6.12114,H2KYH5,H2KYH5;Q95QX5,,219;253,1,18.5498,18.8957,19.0357,18.8311,24.9376,24.6446,23.9334,25.098,6.12114,0,-5.82527,-21.014,+
,-2.48817,4.70487,H2KYH5,H2KYH5;Q95QX5,,21;21,1,19.2816,18.5964,18.4168,18.6868,21.3694,20.9808,21.307,21.2772,4.70487,0,-2.48817,-12.0599,+
,-0.955277,1.23763,H2KYH5,H2KYH5;Q95QX5,,173;173,0.790256,23.1304,23.1344,22.4517,22.304,24.5876,23.5168,22.933,23.8042,1.23763,0.0129294,-0.955277,-2.33981,+
,1.26403,0.834111,H2KYH5,H2KYH5;Q95QX5,,175;175,1,20.8493,22.2289,24.2916,23.531,21.3986,21.5657,21.5226,21.3578,0.834111,0.0408721,1.26403,1.66722,+
,0.174002,0.0366232,H2KYH5,H2KYH5;Q95QX5,,191;191,0.999931,23.2352,29.2273,29.8561,30.0338,28.109,27.6298,27.4458,28.4718,0.0366232,0.847372,0.174002,0.105879,
,-2.14816,1.16272,H2KYH5,H2KYH5;Q95QX5,,134;134,1,16.6661,17.7381,20.6748,19.8946,21.367,20.1834,20.7257,21.2902,1.16272,0.0157426,-2.14816,-2.21413,+
,-6.53967,5.19185,H2KYH5,H2KYH5;Q95QX5;Q86GT7,,392;426;129,0.99057,19.8572,19.3437,18.8633,18.1565,25.0628,26.0387,26.055,25.2228,5.19185,0,-6.53967,-14.6194,+
,-3.03311,2.45394,H2KYH5,H2KYH5;Q95QX5;Q86GT7,,354;388;91,1,19.6617,18.9439,19.528,21.4167,23.8679,22.1732,22.4831,23.1585,2.45394,0.00102251,-3.03311,-4.64662,+
,-1.61478,1.76689,H2KYH5,H2KYH5;Q95QX5,,10;10,1,26.9506,27.2221,26.5227,25.8158,29.3182,28.0499,27.4692,28.1329,1.76689,0.00359934,-1.61478,-3.26672,+
,0.116885,0.135642,H2KYH5,H2KYH5;Q95QX5;Q86GT7,,395;429;132,1,25.1753,25.1497,26.1176,25.6317,25.1701,26.0456,25.4098,24.9812,0.135642,0.535263,0.116885,0.359209,
,-6.23443,4.61209,H2KYH5,H2KYH5;Q95QX5;Q86GT7,,393;427;130,0.686078,20.761,20.8656,21.4583,19.9541,27.5958,27.6005,25.7401,27.0404,4.61209,0,-6.23443,-11.6226,+
,-1.91589,2.14398,Q86NI2,Q86NI2;H2KYI5,,132;174,1,20.6232,21.2598,19.4071,20.2656,22.8353,21.6059,22.0838,22.6943,2.14398,0.0016628,-1.91589,-3.99273,+
,-1.18313,0.680269,Q86NI2,Q86NI2;H2KYI5,,151;193,1,20.8976,18.8033,19.1359,18.9801,21.3761,18.5908,21.4514,21.1312,0.680269,0.0665966,-1.18313,-1.40791,
mtch-1,-2.5968,1.61191,H2KYJ5,H2KYJ5,,239,0.755813,17.4574,20.6607,18.3397,17.1388,20.9309,21.4912,20.0262,21.5354,1.61191,0.00555815,-2.5968,-2.98623,+
pkg-2,-1.48905,1.28955,Q8MQE2,Q8MQE2;H2KYN1;H2KYN2,,76;313;349,1,21.4343,21.8471,21.8186,19.8554,23.8489,22.4428,22.0185,22.6016,1.28955,0.0111301,-1.48905,-2.42745,+
smk-1,-1.21379,0.78753,H2KYN7,H2KYN7;H2KYN6,,293;529,0.993537,18.9511,19.6886,20.187,18.9938,21.8971,18.642,21.0098,21.1269,0.78753,0.0475475,-1.21379,-1.58925,+
smk-1,-2.74459,1.80725,H2KYN7,H2KYN7;H2KYN6,,400;636,1,18.597,18.7605,21.3016,18.9114,23.2407,22.2491,20.7486,22.3105,1.80725,0.00332508,-2.74459,-3.34129,+
ncx-2,-1.4299,0.981123,H2KYP4,H2KYP4;H2KYP2,,357;357,1,19.9849,20.1991,17.5553,20.8596,21.1707,20.6882,20.8822,21.5774,0.981123,0.0274163,-1.4299,-1.91183,+
ncx-2,2.06796,1.4059,H2KYP4,H2KYP4;H2KYP2;H2KYP3,,295;295;295,1,24.1244,23.5108,26.7366,24.6777,22.6336,21.8488,22.6815,23.6137,1.4059,0.00811938,2.06796,2.62592,+
ncx-2,-2.0075,1.54679,H2KYP4,H2KYP4;H2KYP2;H2KYP3,,547;547;550,0.89088,20.9384,19.2386,21.3797,18.9204,21.5778,23.0954,21.7339,22.1,1.54679,0.006417,-2.0075,-2.87093,+
vig-1,-0.658644,0.354682,H2KYR1,H2KYR1,,284,0.999873,20.2046,19.5824,22.0884,18.792,21.1934,20.8947,21.479,19.7348,0.354682,0.217325,-0.658644,-0.823168,
vig-1,-1.59715,1.4222,H2KYR1,H2KYR1,,290,1,18.0713,20.5475,19.2494,19.7927,20.203,21.5666,20.9244,21.3554,1.4222,0.00785206,-1.59715,-2.65399,+
vig-1,-1.62287,1.50992,H2KYR1,H2KYR1,,202,0.999203,20.1835,18.189,20.6254,19.1037,21.1109,21.1729,20.7052,21.6042,1.50992,0.00672481,-1.62287,-2.80624,+
vig-1,-1.57911,1.76486,H2KYR1,H2KYR1,,209,1,20.1755,20.9463,19.5954,18.7369,21.7044,21.5111,21.0877,21.4673,1.76486,0.00358749,-1.57911,-3.26298,+
vig-1,-1.01303,0.707275,H2KYR1,H2KYR1,,139,1,18.6477,21.6266,19.6781,20.8755,21.4677,20.5955,21.1529,21.6639,0.707275,0.0605102,-1.01303,-1.45386,
vig-1,-1.04145,1.06147,H2KYR1,H2KYR1,,251,0.967484,20.8964,20.4362,18.8374,20.023,20.3301,21.2884,21.3526,21.3877,1.06147,0.0215753,-1.04145,-2.04532,+
vig-1,-1.78852,1.90717,H2KYR1,H2KYR1,,253,0.689644,18.9909,18.5609,19.9017,20.5381,21.9648,20.9853,20.8974,21.2981,1.90717,0.00273508,-1.78852,-3.52897,+
vig-1,-3.48739,2.47908,H2KYR1,H2KYR1,,32,1,20.5514,19.3733,19.1526,18.9291,24.1617,23.1374,21.1532,23.5036,2.47908,0.000938111,-3.48739,-4.70228,+
vig-1,-6.16047,4.33646,H2KYR1,H2KYR1,,306,1,19.2693,18.5929,18.2842,17.526,23.5485,25.5384,24.0436,25.1838,4.33646,0,-6.16047,-10.4083,+
vig-1,-2.74537,2.51768,H2KYR1,H2KYR1,,378,1,19.658,18.3121,17.1421,19.225,21.5784,21.008,21.5379,21.1942,2.51768,0.000786667,-2.74537,-4.78855,+
vig-1,-1.47318,1.97449,H2KYR1,H2KYR1,,47,0.999999,19.9757,19.0654,20.3907,19.1065,21.2419,21.7073,20.8072,20.6746,1.97449,0.0023598,-1.47318,-3.65798,+
vig-1,-2.78529,3.51054,H2KYR1,H2KYR1,,53,0.998458,17.9321,18.7023,18.5323,18.7742,21.9389,21.2071,21.5244,20.4115,3.51054,0.000255773,-2.78529,-7.41795,+
srr-4,0.666679,0.302235,O44618,O44618;H2KYR4,,226;226,0.999992,26.1204,24.4999,25.6695,22.2066,23.22,24.0911,24.6798,23.8389,0.302235,0.266833,0.666679,0.719974,
daf-9,-4.59571,3.85888,H2KYS3,H2KYS3,Cytochrome P450 daf-9,166,1,17.7056,18.9859,19.3423,19.5985,23.5836,24.3176,22.6938,23.4202,3.85888,0.000252525,-4.59571,-8.57241,+
,-1.44625,0.774966,Q8MNV5,Q8MNV5;H2KYV8,,712;712,0.998881,20.4629,19.4962,21.1664,17.0076,20.846,20.714,21.4314,20.9266,0.774966,0.0493061,-1.44625,-1.56815,+
ppw-1,-0.948322,0.989357,Q86NJ8,Q86NJ8;H2KYV9;A0A0U1RML6;A0A0U1RML5,Piwi-like protein,113;139;113;113,1,20.076,20.4188,20.7699,18.6514,21.0628,20.5245,21.2885,20.8336,0.989357,0.0266461,-0.948322,-1.9255,+
nab-1,-1.80863,1.78211,Q5R3Y6,Q5R3Y6;Q95Q64;H2KYW3;H2KYW1,,466;500;597;660,0.998574,19.0253,18.708,20.3893,20.9847,21.7695,21.6642,21.4483,21.4599,1.78211,0.00354914,-1.80863,-3.29476,+
clec-266,-7.21398,3.97393,H2KZ06,H2KZ06;H2KZ07;Q7Z121,,127;163;127,1,19.616,17.8584,18.9323,17.8075,25.8205,27.1137,23.9217,26.2141,3.97393,0.000294985,-7.21398,-8.98619,+
tat-4,-0.153913,0.088981,H2KZ37,H2KZ37;Q7JPE4,Phospholipid-transporting ATPase,1420;205,0.999994,23.8853,23.385,22.1207,21.8293,22.3658,22.2117,23.5594,23.6991,0.088981,0.662735,-0.153913,-0.244839,
,-2.28762,1.1183,H2KZ48,H2KZ48,,239,0.999998,18.6354,16.5205,18.7929,21.5897,21.0136,20.5461,21.4908,21.6386,1.1183,0.0177758,-2.28762,-2.13995,+
,-2.3727,3.33594,H2KZ48,H2KZ48,,244,0.9522,18.1603,19.4128,19.7147,19.0684,21.4401,21.595,21.2657,21.5463,3.33594,0.000215247,-2.3727,-6.89011,+
,-0.108176,0.0836815,H2KZ89,H2KZ89;Q5ZR77,,161;183,0.966226,21.342,20.7532,19.8023,20.0311,20.7561,21.3687,20.3005,19.936,0.0836815,0.681402,-0.108176,-0.231334,
,0.402673,0.37034,Q95Q55,Q95Q55;H2KZA2,,148;150,0.998981,25.6698,25.6299,26.7999,26.5283,25.9817,24.7379,25.825,26.4727,0.37034,0.205536,0.402673,0.853289,
,-1.84517,2.45702,Q95Q55,Q95Q55;H2KZA2,,149;151,0.606505,19.8751,19.1829,19.8684,18.762,20.4121,21.5392,21.4757,21.6423,2.45702,0.00102415,-1.84517,-4.65342,+
,2.39995,3.12484,H2KZA9,H2KZA9,,182,1,24.7455,26.3587,25.0976,25.1642,23.2352,22.9927,22.5278,23.0106,3.12484,0.000364557,2.39995,6.29268,+
,-3.29876,2.9831,H2KZA9,H2KZA9,,267,1,18.4047,20.4535,20.3857,18.8748,23.2371,22.9786,22.3183,22.7798,2.9831,0.000476404,-3.29876,-5.91467,+
,4.87098,3.83859,H2KZC4,H2KZC4;Q94315,,118;147,1,24.8891,25.58,26.2815,26.4137,21.0474,21.4924,19.6047,21.5359,3.83859,0.000248139,4.87098,8.50119,+
,-2.18197,1.4342,H2KZD2,H2KZD2,,329,1,17.1335,19.2155,18.0189,20.1421,21.8641,19.7703,21.3269,20.2766,1.4342,0.00769116,-2.18197,-2.67468,+
pmt-1,3.90848,4.16547,Q86NB3,Q86NB3;Q23552;H2KZF5,,200;215;224,1,23.7672,24.8162,24.8434,24.7759,20.5594,19.9131,21.4044,20.6918,4.16547,0,3.90848,9.71421,+
aka-1,-2.23036,1.33517,Q18930,Q18930;H2KZI9,,821;825,1,16.8891,18.6395,18.3732,20.7223,21.9213,21.1547,20.3921,20.0775,1.33517,0.00991887,-2.23036,-2.50492,+
praf-3,-2.16363,2.39087,Q4TTA9,Q4TTA9;H2KZJ7,,60;163,1,18.2396,19.3531,20.4147,18.7896,21.714,21.1839,21.2356,21.3178,2.39087,0.00121834,-2.16363,-4.5088,+
dpf-3,-2.06037,1.55029,Q965K3,Q965K3;H2KZK7,,69;69,1,20.9624,18.6149,17.6291,19.1857,21.4833,21.166,21.2353,20.749,1.55029,0.00637506,-2.06037,-2.87709,+
,0.592694,0.59068,Q688A5,Q688A5;H2KZK8,,71;71,1,21.3916,21.68,23.1698,22.0735,21.9562,21.5773,20.7185,21.6922,0.59068,0.091656,0.592694,1.25355,
,3.84039,3.43686,Q9BL66,Q9BL66;H2KZK9,,180;180,1,24.0474,24.7681,25.1235,24.1107,19.6473,21.6361,21.2611,20.1435,3.43686,0.000238017,3.84039,7.19133,+
,-1.66178,1.21526,H2KZN1,H2KZN1,,10,0.502874,20.5676,18.5365,20.4484,18.0981,20.2062,21.2842,20.9942,21.8132,1.21526,0.0135112,-1.66178,-2.3022,+
slc-17.6,-0.34044,0.148286,X5M917,X5M917;H2KZQ3;H2KZQ1,,14;449;491,1,18.3137,19.5042,21.9766,19.1177,19.2388,19.7257,20.9871,20.3224,0.148286,0.505741,-0.34044,-0.388946,
ifc-2,2.96249,5.14801,H2KZR4,H2KZR4,,343,1,24.1312,23.9671,23.4399,24.0555,20.9534,20.7052,20.778,21.3071,5.14801,0,2.96249,14.3695,+
ifc-2,-0.863352,0.605864,H2KZR4,H2KZR4,,386,1,19.0745,20.0619,21.8605,19.1474,20.6698,21.452,20.7926,20.6833,0.605864,0.0870763,-0.863352,-1.27995,
ifc-2,2.11911,4.40903,H2KZR4,H2KZR4,,270,1,23.304,23.2241,23.2926,22.7019,21.172,20.6073,21.1059,21.1611,4.40903,0,2.11911,10.7161,+
,1.12125,1.40062,H2KZT9,H2KZT9,,308,1,28.5818,28.8533,27.9082,27.5387,26.8295,27.9985,26.6616,26.9075,1.40062,0.00821948,1.12125,2.61685,+
cas-1,-2.69788,2.35653,H2L023,H2L023;Q95YA9,Adenylyl cyclase-associated protein,196;957,0.999709,24.6499,23.5544,22.0687,22.3801,26.2916,25.6169,25.7235,25.8126,2.35653,0.00119421,-2.69788,-4.43483,+
cas-1,-5.54317,3.94232,H2L023,H2L023;Q95YA9,Adenylyl cyclase-associated protein,105;866,1,19.0501,20.966,19.1523,18.6027,26.0046,24.7704,24.4986,24.6703,3.94232,0.000285714,-5.54317,-8.87082,+
cas-1,0.133181,0.118912,H2L023,H2L023;Q95YA9,Adenylyl cyclase-associated protein,9;9,1,25.2923,26.576,26.844,25.7805,26.2792,25.9874,25.3811,26.3122,0.118912,0.577934,0.133181,0.319082,
cas-1,-1.67247,2.11678,H2L023,H2L023;Q95YA9,Adenylyl cyclase-associated protein,306;1067,1,19.3082,20.5947,21.2447,20.1459,21.7174,22.305,22.0366,21.9244,2.11678,0.00190067,-1.67247,-3.93798,+
wht-7,-1.17254,1.12234,H2L028,H2L028,,74,0.99983,19.4863,20.0469,18.9826,21.0442,21.5276,21.4574,21.1302,20.135,1.12234,0.0175929,-1.17254,-2.14668,+
pmp-5,-2.11132,2.28569,H2L034,H2L034;Q86S26,,597;625,1,20.7018,18.7406,18.5331,19.1862,21.5296,21.3689,21.4351,21.2734,2.28569,0.00134111,-2.11132,-4.28454,+
pmp-5,-0.722111,0.404334,H2L034,H2L034;Q86S26;H2L035,,371;382;371,1,18.9731,17.6724,21.1231,20.4944,20.5493,20.4725,20.1089,20.0207,0.404334,0.18141,-0.722111,-0.91773,
pmp-5,2.26208,1.84851,H2L034,H2L034;Q86S26;H2L035,,476;504;476,1,24.2301,26.0778,25.8649,24.5189,23.6119,23.7677,21.8145,22.4493,1.84851,0.00314991,2.26208,3.41827,+
,-1.73053,1.36765,H2L048,H2L048;Q8MQ42,,7;7,1,18.7451,17.9387,20.2445,20.6855,21.1123,21.5478,21.3275,20.5483,1.36765,0.00891618,-1.73053,-2.56034,+
,-3.62589,3.38906,H2L048,H2L048;Q8MQ42,,338;338,1,20.2194,21.139,18.89,19.6581,23.7833,23.559,23.0647,24.0031,3.38906,0.00022606,-3.62589,-7.04736,+
,-2.04419,1.52601,H2L048,H2L048;Q8MQ42,,380;380,0.957456,19.1075,17.4772,20.5499,19.1613,21.5068,21.1753,20.1044,21.6862,1.52601,0.00656164,-2.04419,-2.83442,+
,-2.94982,1.88007,H2L048,H2L048;Q8MQ42,,382;382,0.818515,21.0014,18.1969,17.6301,20.2685,22.6713,22.6701,21.7584,21.7966,1.88007,0.00301293,-2.94982,-3.47763,+
,5.54516,3.92794,Q8MXS5,Q8MXS5;H2L071,,484;484,0.999999,27.0668,26.0908,27.0226,25.5063,21.132,19.405,21.327,21.642,3.92794,0.00027933,5.54516,8.81875,+
,5.38494,4.32749,H2L0B6,H2L0B6;Q21956,,241;246,1,26.4941,25.4826,27.6895,27.0049,21.599,20.6686,21.1857,21.6781,4.32749,0,5.38494,10.3708,+
abts-4,2.16151,3.83713,H2L0C4,H2L0C4;Q45EK3;Q58G79;Q58QG8,,405;405;405;405,1,26.398,25.2894,26.1483,25.913,23.9361,23.6842,23.9189,23.5635,3.83713,0.000247525,2.16151,8.49609,+
,-1.22066,1.16854,H2L0D1,H2L0D1;Q8MXF3;H2L0D0,,253;273;274,1,18.8155,20.8161,19.6235,20.3243,21.6301,20.1327,21.3915,21.3078,1.16854,0.0154593,-1.22066,-2.22387,+
,-1.01682,0.803093,H2L0D3,H2L0D3;H2L0D2,,26;276,0.943408,20.9041,19.5171,21.0432,18.7956,21.654,20.7808,20.343,21.5495,0.803093,0.0450567,-1.01682,-1.61534,+
mis-12,-8.28485,5.42551,H2L0D9,H2L0D9;Q9N3R7,,105;105,0.499994,20.3731,18.2565,18.6649,18.3747,27.3662,27.2879,26.7391,27.4152,5.42551,0,-8.28485,-16.023,+
mis-12,-6.54647,5.26906,H2L0D9,H2L0D9;Q9N3R7,,108;108,0.499994,19.4114,20.2895,20.4544,20.6974,27.3662,26.9052,25.813,26.9542,5.26906,0,-6.54647,-15.0697,+
mct-4,3.03831,4.77977,H2L0E5,H2L0E5,,652,0.5,24.1834,23.8232,23.7854,24.1796,20.8265,21.4445,21.1293,20.4182,4.77977,0,3.03831,12.424,+
mct-4,-1.2795,1.11399,H2L0E5;H2L0E6,H2L0E5;Q2L6X7;H2L0E6,,375;430;430,1,20.3265,20.5008,19.4638,20.3668,22.2521,21.766,19.8177,21.9401,1.11399,0.0181551,-1.2795,-2.13277,+
mct-4,-2.36481,1.23074,H2L0E5;H2L0E6,H2L0E5;H2L0E6,,672;772,0.962276,19.7457,16.0878,19.017,20.3405,21.6948,20.7805,20.2909,21.884,1.23074,0.0131002,-2.36481,-2.32822,+
,-0.14804,0.190331,Q9N5G9,Q9N5G9;H2L0G2,,295;343,1,24.0738,25.0103,24.7929,24.8204,24.5137,24.6999,24.5863,25.4896,0.190331,0.423543,-0.14804,-0.484571,
ptc-3,0.48863,1.81856,H2L0G5,H2L0G5,,834,1,25.0163,25.0816,25.3682,25.1607,24.56,24.6935,24.4199,24.9989,1.81856,0.00328281,0.48863,3.36232,+
chat-1,-4.87048,4.29453,H2L0H3,H2L0H3,,25,0.975052,19.2924,20.1337,20.5253,19.3583,25.5842,23.8281,24.4792,24.9,4.29453,0,-4.87048,-10.2341,+
lfi-1,-1.56956,0.925471,H2L0I2;H2L0I3,H2L0I2;H2L0I3;Q45EJ8,,555;482;555,1,17.9245,20.9271,20.7541,18.2702,21.7361,20.6876,20.2903,21.4402,0.925471,0.0311896,-1.56956,-1.81939,+
lfi-1,-3.44195,1.39648,H2L0I2;H2L0I3,H2L0I2;H2L0I3;Q45EJ8,,1025;952;1025,1,20.1295,16.0832,21.8167,18.962,24.1522,22.6969,21.6536,22.2565,1.39648,0.00835052,-3.44195,-2.60973,+
lfi-1,-1.51009,1.99192,H2L0I2;H2L0I3,H2L0I2;H2L0I3,,2207;2134,1,20.458,19.4987,18.9507,18.8796,21.2081,20.5298,20.7674,21.3221,1.99192,0.00232015,-1.51009,-3.69174,+
lfi-1,-3.9225,2.75005,H2L0I2;H2L0I3,H2L0I2;H2L0I3;Q45EJ8,,1523;1450;1523,1,18.4741,18.5551,18.9894,20.2534,24.3107,23.5691,21.4972,22.585,2.75005,0.000558229,-3.9225,-5.33003,+
lfi-1,-3.9555,2.6679,H2L0I2;H2L0I3,H2L0I2;H2L0I3;Q45EJ8,,612;539;612,1,20.6875,18.2473,20.7654,18.2152,22.9526,23.7939,22.9834,24.0075,2.6679,0.000524412,-3.9555,-5.13412,+
lfi-1,-2.11091,1.91802,H2L0I2;H2L0I3,H2L0I2;H2L0I3;Q45EJ8;H2L0I4,,133;25;133;133,1,18.1583,20.1747,20.0245,18.0405,21.3925,20.9322,21.4925,21.0243,1.91802,0.0027515,-2.11091,-3.54963,+
lfi-1,-1.2574,1.20233,H2L0I2;H2L0I3,H2L0I2;H2L0I3;Q45EJ8,,1777;1704;1777,1,18.3688,19.8097,20.7415,20.6068,21.1823,21.098,21.3447,20.9312,1.20233,0.0140688,-1.2574,-2.28049,+
,-4.06892,3.54205,Q22095,Q22095;H2L0K1,,331;348,1,18.4104,19.7248,20.0143,20.8681,23.7139,24.3512,23.5072,23.7211,3.54205,0.00026422,-4.06892,-7.51668,+
dhs-30,-1.35268,1.29791,H2L0K8;Q65ZI3,H2L0K8;Q65ZI3;O61799,,246;247;71,0.902702,20.4505,18.2496,19.7265,20.3222,21.2274,21.258,21.3188,20.3554,1.29791,0.0108836,-1.35268,-2.44163,+
pod-2,-5.17977,4.33706,Q9GZI3,Q9GZI3;H2L0M0;Q7KQ29,,690;801;690,1,18.8392,18.7916,17.8388,19.3038,24.0746,22.7386,24.1479,24.5314,4.33706,0,-5.17977,-10.4108,+
,-0.947892,1.16195,H2L0R6,H2L0R6;Q9N373,,207;207,0.999999,19.7185,20.2596,19.924,19.6237,21.4641,21.5901,20.1991,20.0643,1.16195,0.0157559,-0.947892,-2.21284,+
,-6.41696,3.96352,H2L0R6,H2L0R6;Q9N373,,248;248,1,19.1541,17.9269,19.3298,16.283,24.845,24.38,24.3154,24.8211,3.96352,0.000290698,-6.41696,-8.94803,+
,-3.48644,4.20088,H2L0R6,H2L0R6;Q9N373,,258;258,1,20.5024,20.5721,20.587,19.699,23.457,24.457,23.2591,24.1331,4.20088,0,-3.48644,-9.85443,+
,-2.38464,1.38291,U4PC11,U4PC11;H2L0R7;Q95XG1;H2L0R8,,162;332;335;337,0.999998,21.0084,20.427,17.5775,17.5485,21.7167,21.5437,21.3199,21.5196,1.38291,0.00869864,-2.38464,-2.58646,+
tba-1;tba-2,-1.60495,2.32405,O18688;P34690,O18688;H2L2E8;P34690,Tubulin alpha-2 chain,334;339;334,0.96111,19.3996,19.6778,19.2205,20.0812,20.3138,21.6051,21.1797,21.7004,2.32405,0.00124345,-1.60495,-4.36555,+
tba-1;tba-2,-1.65605,0.871477,O18688;P34690,O18688;H2L2E8;P34690,Tubulin alpha-2 chain,110;115;110,1,16.2102,20.369,19.1976,19.2548,20.8464,19.5823,21.122,20.1051,0.871477,0.0361859,-1.65605,-1.72955,+
,-1.35466,2.99145,H8W3X0,H8W3X0,,190,0.98016,19.8349,20.3933,20.6711,20.0596,21.8586,21.7594,21.258,21.5016,2.99145,0.000481818,-1.35466,-5.93645,+
F08B12.4,-1.87627,1.39635,H9G2R5;Q19191,H9G2R5;Q19191;H9G2S0;B6VQ74;H9G2R1;H9G2R0;H9G2R9;H9G2R8;H9G2R2,Uncharacterized protein F08B12.4,26;74;53;90;33;54;69;49;70,1,20.4622,20.0619,19.133,17.4467,21.6633,20.4604,21.0752,21.4099,1.39635,0.00834291,-1.87627,-2.60951,+
