geneName,log2FC,pvalue,ProteinAccessions,,ProteinDescriptions,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value N2_d10_N2_d5,log2FC,Student's T-test Test statistic N2_d10_N2_d5,Sign p-val: 0.05 
mdf-1,2.4951,1.76006,G5EFM0,,MAD (Yeast Mitosis arrest DeFicient) related,16.0957,14.4531,14.3653,16.6637,11.6799,13.0172,12.7795,14.1206,1.76006,0.00233046,2.4951,3.25416,+
"CELE_F18C12,3",2.77005,2.66005,G5EFM7,,Uncharacterized protein,15.8632,14.6099,16.0486,15.5081,12.2634,14.048,12.3417,12.2965,2.66005,0.000288828,2.77005,5.11567,+
rict-1,-0.586419,0.740486,G5EFN2,,Uncharacterized protein,14.1633,14.2884,14.4681,14.9858,15.9555,15.2203,14.6854,14.39,0.740486,0.0496949,-0.586419,-1.51008,+
"CELE_ZK1321,4",0.287373,0.831179,G5EFP2,,Uncharacterized protein,18.1649,18.226,18.8604,18.6766,18.1118,18.2618,18.2017,18.2029,0.831179,0.0373267,0.287373,1.66232,+
mrp-4,1.52093,2.33487,G5EFP3,,Uncharacterized protein,14.2259,13.8246,14.4356,14.9858,12.8607,12.6201,12.3771,13.5304,2.33487,0.000457944,1.52093,4.38855,+
sym-1,-0.674699,0.742576,G5EFP4,,SYM-1 protein,14.4832,14.071,13.6919,14.9634,15.4028,13.933,15.1725,15.4,0.742576,0.0492528,-0.674699,-1.51361,+
fut-3,0.559161,1.35624,G5EFP5,,"Alpha-(1,3)-fucosyltransferase fut-3",14.38,14.0877,14.6795,14.6738,13.9049,14.2239,13.4293,14.0264,1.35624,0.0077969,0.559161,2.54084,+
acl-7,1.4097,2.51732,G5EFP8,,ACyLtransferase-like,13.8965,14.4141,14.3717,14.5825,12.2186,12.8605,13.4075,13.1395,2.51732,0.000338292,1.4097,4.78774,+
mec-5,-1.59582,4.04022,G5EFQ9,,MEC-5,14.496,14.2407,14.3844,14.0735,16.3281,15.7691,15.6815,15.7993,4.04022,0,-1.59582,-9.23246,+
tag-297,1.10744,1.71523,G5EFR0,,Uncharacterized protein,14.2589,13.9012,15.3341,14.5295,13.5443,13.0959,13.1421,13.8118,1.71523,0.00259623,1.10744,3.1722,+
msi-1,1.10381,1.15318,G5EFS2,,MuSashI (Fly neural) family,15.7233,15.2907,15.9019,17.4857,15.0005,14.6739,14.9165,15.3954,1.15318,0.0144051,1.10381,2.19819,+
dcs-1,0.720539,0.471065,G5EFS4,,m7GpppX diphosphatase,15.0212,16.7377,13.6461,16.1782,14.3855,14.706,14.7143,14.8952,0.471065,0.120911,0.720539,1.04095,
"CELE_F45D11,15;CELE_F45D11,14",0.395225,1.22972,G5EFS5;Q9N5T2,,Uncharacterized protein,15.1195,15.3862,15.2792,14.8821,14.8117,14.4187,14.8111,15.0447,1.22972,0.0117216,0.395225,2.3265,+
hpl-2,2.14468,2.70337,G5EFS9;Q9U3C6,,Chromo-domain protein;HP1 Like (Heterochromatin protein),16.5719,15.2626,15.7833,16.7567,14.4668,13.9761,13.9544,13.3986,2.70337,0.000210037,2.14468,5.2181,+
hsf-1,0.246333,0.411854,G5EFT5,,Heat Shock Factor,14.4829,14.2102,14.2395,15.0867,14.658,14.2557,14.2881,13.8321,0.411854,0.14897,0.246333,0.931821,
"ant-1,4",0.162855,0.123981,G5EFU2,,Adenine Nucleotide Translocator,14.4339,14.127,14.417,14.9376,15.3101,13.2408,13.9031,14.81,0.123981,0.516381,0.162855,0.331338,
"CELE_ZK524,4",3.05628,8.44825,G5EFV2,,Uncharacterized protein,14.3524,14.3505,14.4366,14.3621,11.4677,11.2064,11.2725,11.33,8.44825,0,3.05628,51.5819,+
"hmg-1,1",0.594903,1.41006,G5EFV4,,HMG,18.8292,17.9547,18.1518,17.9037,17.4933,17.5163,17.82,17.6301,1.41006,0.00656366,0.594903,2.63307,+
pkn-1,2.92828,3.21638,G5EFX2;G5EGE3,,Protein Kinase N (PKN) homolog,14.5022,14.227,13.9078,14.8301,11.4793,10.3249,12.2203,11.7296,3.21638,0,2.92828,6.54651,+
ntl-3,0.529413,0.681362,G5EFX8,,NOT-Like (Yeast CCR4/NOT complex component),16.9792,16.8461,16.9849,15.7541,16.3226,15.446,16.1975,16.4805,0.681362,0.0594038,0.529413,1.40978,
sec-31,1.19935,1.73218,G5EFY6,,Yeast SEC homolog,15.7074,15.1438,15.5778,14.6478,14.3065,14.7551,13.7552,13.4626,1.73218,0.00244978,1.19935,3.20309,+
ipgm-1,0.30106,0.247958,G5EFZ1,,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",17.2323,17.4045,17.1347,19.1322,17.3955,17.7464,17.0402,17.5173,0.247958,0.286176,0.30106,0.60878,
icln-1,1.61254,2.52833,G5EFZ5;G5EG22,,ICLN (ICLn) ion channel homolog,17.4326,17.2526,16.6752,18.0632,15.5756,15.784,15.4012,16.2127,2.52833,0.000340026,1.61254,4.81252,+
pgp-8,2.3879,4.09069,G5EG03,,P-GlycoProtein related,16.1484,16.4977,15.9319,16.7501,14.0765,13.525,13.8228,14.3521,4.09069,0,2.3879,9.42397,+
fat-4,2.4516,1.88264,G5EG11,,Delta(5) fatty acid desaturase fat-4,14.1702,13.9835,14.2372,14.2261,11.941,9.65669,12.4858,12.7271,1.88264,0.00166489,2.4516,3.48249,+
dhs-12,0.551877,1.20649,G5EG13,,"DeHydrogenases, Short chain",17.8385,17.4225,17.8076,17.9949,16.7526,17.391,17.7,17.0124,1.20649,0.0124442,0.551877,2.28746,+
crn-2,2.22245,5.14936,G5EG18,,Cell death-related nuclease 2,18.7414,19.0246,18.9904,19.4528,16.7827,16.9668,16.779,16.7909,5.14936,0,2.22245,14.3771,+
nspd-6,-0.376106,0.759126,G5EG23,,"Nematode Specific Peptide family, group D",14.3941,13.7166,14.4962,14.7412,14.5592,14.6802,14.5883,15.0248,0.759126,0.046861,-0.376106,-1.5415,+
"R151,8A",2.14947,3.91664,G5EG26,,"R151,8A protein",18.0681,17.4661,17.6829,18.4442,15.9743,15.7699,15.4421,15.877,3.91664,0,2.14947,8.77801,+
skr-10,1.23205,2.37391,G5EG39,,SKR-10,14.2188,14.3529,14.4425,14.9013,13.5335,12.8465,12.8572,13.75,2.37391,0.000439873,1.23205,4.47218,+
"CELE_W05H12,1",3.02051,4.22948,G5EG41,,Uncharacterized protein,14.2493,13.621,14.4113,15.0158,11.4866,11.1576,11.1122,11.4589,4.22948,0,3.02051,9.96898,+
PRL-1,3.19967,4.84149,G5EG43,,Putative prenylated protein tyrosine phosphatase,14.3664,14.1971,14.4295,15.1739,11.4399,11.0438,11.2455,11.6391,4.84149,0,3.19967,12.7318,+
"CELE_T04A11,1",-0.513435,4.57684,G5EG50,,Uncharacterized protein,14.7147,14.6812,14.6511,14.7177,15.2499,15.2436,15.2462,15.0788,4.57684,0,-0.513435,-11.4604,+
pgp-9,2.53064,4.01872,G5EG58,,P-GlycoProtein related,14.3694,14.324,14.4615,15.0349,11.9116,11.815,11.6743,12.6663,4.01872,0,2.53064,9.15196,+
unc-45,-0.0751402,0.037937,G5EG62,,UNC-45,13.5355,15.559,15.3502,13.8532,14.324,14.0136,14.2633,15.9975,0.037937,0.820381,-0.0751402,-0.10953,
hid-1,1.34956,1.55457,G5EG65;Q7Z135,,HID-1;High temperature-Induced Dauer formation,14.6348,15.7107,14.9865,14.1635,13.2212,13.9443,12.7322,14.1996,1.55457,0.0041383,1.34956,2.88462,+
fat-2,1.99223,2.7264,G5EGA5,,Delta(12) fatty acid desaturase fat-2,16.2838,16.5782,17.8824,16.8232,14.5008,14.868,15.0599,15.1699,2.7264,0.000195581,1.99223,5.27311,+
dhrs-4,1.19617,2.15124,G5EGA6,,Dehydrogenase/reductase SDR family member 4,15.1051,15.4519,15.4677,16.3595,14.1996,14.5883,14.1485,14.663,2.15124,0.000666424,1.19617,4.0074,+
ras-2,0.994545,2.45113,G5EGA7,,GTP binding protein,16.3009,15.659,15.7251,15.7956,14.5288,15.2716,14.7612,14.941,2.45113,0.000383381,0.994545,4.64043,+
lec-2,-0.0651121,0.0277828,G5EGB1,,Galectin,19.3699,17.0117,20.6274,18.3046,18.9163,18.9078,18.3106,19.4393,0.0277828,0.86634,-0.0651121,-0.0810594,
ragc-1,2.66799,5.55802,G5EGB3,,RAs-related GTP binding protein C homolog,16.8481,17.0166,17.4399,17.2353,14.551,14.2393,14.4136,14.6641,5.55802,0,2.66799,16.8755,+
"CELE_DY3,8",0.947834,1.86555,G5EGC1,,Uncharacterized protein,14.478,14.1386,13.7128,14.8377,13.1825,13.0799,13.6748,13.4385,1.86555,0.00174017,0.947834,3.45026,+
skr-12,-2.19512,3.19609,G5EGD5,,SKR-12,14.3618,14.2207,13.7476,14.5249,16.2746,15.851,16.2713,17.2387,3.19609,6.06E-05,-2.19512,-6.48959,+
dpy-26,2.86032,3.47242,G5EGE9,,Condensin complex subunit dpy-26,13.6071,14.3259,13.4145,14.8752,10.7391,11.2002,11.125,11.7172,3.47242,0,2.86032,7.29996,+
uso-1,1.08365,2.57574,G5EGG0;Q2EEM5,,USO1 (Yeast transport protein) homolog,14.4703,14.3629,14.4029,14.1912,13.1146,13.38,13.7999,12.7982,2.57574,0.000329987,1.08365,4.92023,+
rad-51,-2.53875,4.11319,G5EGG8;L8E822;Q95Q25,,RAD51 short isoform;Uncharacterized protein;Uncharacterized protein,14.3325,14.0191,14.4375,15.1341,17.114,17.0341,16.6682,17.262,4.11319,0,-2.53875,-9.51049,+
moc-1,-0.17512,0.395275,G5EGH2,,MOlybdenum Cofactor biosynthesis,13.9815,14.3566,14.3812,14.6322,14.2353,14.3362,14.6256,14.8548,0.395275,0.158751,-0.17512,-0.900677,
lon-8,1.15607,1.90696,G5EGH7,,Protein lon-8,16.8746,15.8222,15.9817,17.0805,15.3219,15.092,15.2066,15.5143,1.90696,0.00156551,1.15607,3.52857,+
zig-1,0.0047369,0.011478,G5EGI7,,Zwei Ig domain protein zig-1,14.4903,14.0686,14.3976,14.2055,14.2909,14.2065,14.0831,14.5625,0.011478,0.943677,0.0047369,0.0340822,
ida-1,1.04543,1.326,G5EGJ5,,IA2,13.279,14.2436,13.6054,14.9918,12.7228,13.4916,12.7107,13.0129,1.326,0.00856343,1.04543,2.48932,+
tln-1,1.34505,5.43925,G5EGK1,,TaLiN,17.0089,17.1064,16.9514,17.2238,15.6667,15.6264,15.7253,15.8918,5.43925,0,1.34505,16.1095,+
ugt-16,-0.538287,0.84951,G5EGK7,,UDP-glucuronosyltransferase,14.4673,13.5542,14.4109,14.9418,14.7268,15.2733,14.704,14.8233,0.84951,0.0354069,-0.538287,-1.69293,+
let-92,1.61863,5.06277,G5EGK8,,Serine/threonine-protein phosphatase 2A catalytic subunit,18.2228,18.4417,18.4858,18.659,16.9444,16.8704,16.6156,16.9043,5.06277,0,1.61863,13.8951,+
"CELE_T28D6,6",1.55131,5.05559,G5EGL2,,Uncharacterized protein,17.0739,16.9352,17.262,17.3491,15.5213,15.6039,15.5103,15.7795,5.05559,0,1.55131,13.8559,+
fat-6,2.89262,4.09162,G5EGN2,,Delta(9)-fatty-acid desaturase fat-6,13.9246,13.664,14.4752,14.8937,11.44,11.0657,11.2056,11.6756,4.09162,0,2.89262,9.42753,+
vha-6,1.37315,4.76696,G5EGP4,,V-type proton ATPase subunit a,17.9876,18.0469,17.9125,18.3224,16.7271,16.7665,16.4994,16.7838,4.76696,0,1.37315,12.361,+
cpz-1,0.317132,0.332723,G5EGP8,,CathePsin Z,17.0076,16.3909,16.9538,18.3032,16.765,16.7994,16.9028,16.9198,0.332723,0.20155,0.317132,0.780415,
"CELE_W02A11,1",1.95399,2.4909,G5EGR8,,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A,16.3993,15.4858,17.3589,15.9051,14.4036,14.0805,14.5085,14.3405,2.4909,0.000368818,1.95399,4.72859,+
gbf-1,1.53975,0.563827,G5EGS5,,Uncharacterized protein,11.7018,15.91,15.2534,17.7817,13.4916,13.3946,13.8539,13.7478,0.563827,0.0879443,1.53975,1.20657,
syp-1,0.235582,0.281153,G5EGS8,,Synaptonemal complex protein SYP-1,14.3512,14.3526,14.4393,15.0596,13.8745,13.8013,15.0984,14.4863,0.281153,0.248195,0.235582,0.677371,
cyp-31a2;cyp-31a3,1.46154,2.38328,G5EGT6;Q9N574,,CYtochrome P450 family,14.0791,14.7206,14.7625,15.0288,12.867,12.6408,13.5479,13.689,2.38328,0.000416534,1.46154,4.49239,+
iffb-1,1.94961,2.58174,G5EGT7,,Eukaryotic translation initiation factor eIF5B,16.7196,16.3417,17.3423,18.1309,15.0926,15.3127,15.2408,15.0898,2.58174,0.00030149,1.94961,4.93396,+
egl-30,2.11816,3.89308,G5EGU1,,EGL-30,17.3768,17.6238,17.5183,18.3788,15.5269,15.635,15.4054,15.8577,3.89308,0,2.11816,8.69362,+
"B0416,5",0.76941,1.43065,G8JXY9;Q11073,,"Uncharacterized protein;Uncharacterized protein B0416,5",15.6231,16.4578,16.2164,15.821,15.4906,15.243,14.6563,15.6507,1.43065,0.00616039,0.76941,2.66855,+
pdxk-1,-0.566575,1.41127,G8JXZ7;H1ZUV6;O01824,,PyriDoXal Kinase homolog;PyriDoXal Kinase homolog;Putative pyridoxal kinase,14.1229,14.4015,14.1557,14.9136,15.0646,14.6254,15.0985,15.0715,1.41127,0.00651517,-0.566575,-2.63515,+
pcm-1,1.27118,2.46689,G8JY24;Q27873,,Protein-L-isoaspartate O-methyltransferase,14.1622,14.0627,14.111,14.7591,13.0435,13.3795,13.2041,12.3832,2.46689,0.000364691,1.27118,4.67524,+
"CELE_K07C11,7;K07C11,7",0.521273,0.922584,G8JY31;Q21268,,"Uncharacterized protein;UPF0046 protein K07C11,7",17.6083,17.1135,17.5434,18.1632,17.1203,16.7324,16.8874,17.6033,0.922584,0.0282209,0.521273,1.81459,+
ubq-1;ubq-1;ubq-2,0.737015,1.33506,G8JY83;P0CG71;P49632,,UBiQuitin;Polyubiquitin-A;Ubiquitin-60S ribosomal protein L40,22.8894,23.2113,22.979,22.7715,22.6735,22.6549,21.4993,22.0755,1.33506,0.0083178,0.737015,2.50473,+
asm-3,1.62051,2.26607,G8JY85;Q9UAY4,,Sphingomyelin phosphodiesterase;Putative sphingomyelin phosphodiesterase asm-3,14.1292,13.3771,14.4409,14.3268,12.8327,11.8236,12.0696,13.066,2.26607,0.000583587,1.62051,4.24345,+
ifc-2,-0.738569,1.58812,G8JY94;Q21067,,"Intermediate Filament, C;Intermediate filament protein ifc-2",16.3807,16.3056,16.5123,17.0681,17.0407,16.9439,17.6484,17.5879,1.58812,0.00358429,-0.738569,-2.94394,+
"zfp-1;F54F2,2/F54F2,3/F54F2,4",1.95078,3.16887,G8JYB8;P34447,,"Zinc Finger Protein;Uncharacterized protein F54F2,2, isoform a",13.841,14.1975,13.8122,15.0153,12.1904,12.3183,12.5587,11.9955,3.16887,5.95E-05,1.95078,6.41381,+
"gcp-2,1",2.38552,3.22098,G8JYE4;P91406,,See cpr;Glutamate carboxypeptidase 2 homolog,18.3416,18.0753,18.054,19.4525,16.3333,16.3323,15.6975,16.0182,3.22098,0,2.38552,6.55949,+
nxt-1,0.486705,2.84663,G8JYG1;Q9U757,,NTF2-related eXporT protein;NTF2-related export protein,17.5645,17.3666,17.5471,17.6104,17.1382,17.1209,17.0456,16.8371,2.84663,0.000161435,0.486705,5.567,+
vps-51,3.22158,3.96734,G8XYY4;O01839,,Related to yeast Vacuolar Protein Sorting factor;Vacuolar protein sorting-associated protein 51 homolog,13.5797,14.2529,13.9738,15.0999,10.9417,10.601,11.1192,11.358,3.96734,0,3.22158,8.96202,+
wdr-4,1.65608,4.09531,G8XYY6;Q23232,,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit,16.4171,16.3683,16.511,16.8695,14.8363,15.1949,14.959,14.5514,4.09531,0,1.65608,9.44169,+
"CELE_Y48C3A,14",0.970825,1.00733,H1UBJ9,,DNA topoisomerase,13.7034,14.1487,14.262,15.1674,13.3848,12.9553,12.6329,14.4251,1.00733,0.0218151,0.970825,1.95536,+
zoo-1,1.87271,2.52772,H1UBK8;H1UBK9;H1UBL0;Q56VX4;Q8I103,,ZO-1 (Zonula Occludens tight junctional protein) Ortholog,14.0551,14.2859,13.8828,15.1737,13.1358,12.3738,12.5381,11.859,2.52772,0.00033988,1.87271,4.81114,+
"CELE_Y65B4BL,1",1.7453,3.02569,H1ZUX7,,Uncharacterized protein,15.2249,15.7699,16.2281,15.6829,14.1398,14.4148,13.9205,13.4495,3.02569,5.53E-05,1.7453,6.02639,+
"C06A1,2",0.158844,0.120291,H2FLG7,,Uncharacterized protein,14.4771,14.3751,13.6653,14.8677,14.7364,13.2626,13.693,15.0579,0.120291,0.525651,0.158844,0.322424,
stl-1,2.89904,3.0653,H2FLJ1,,STomatin-Like,18.2189,18.0261,17.8208,19.1275,15.6074,15.397,16.1968,14.3958,3.0653,5.64E-05,2.89904,6.13173,+
lea-1,1.02662,4.19332,H2FLK8,,Plant Late Embryo Abundant (LEA) related,21.5338,21.5835,21.5192,21.8702,20.7214,20.6578,20.4221,20.5989,4.19332,0,1.02662,9.82432,+
lea-1,1.59472,2.86008,H2FLK9,,Plant Late Embryo Abundant (LEA) related,20.1559,19.8218,19.4085,20.7251,18.3056,18.4744,18.3696,18.5827,2.86008,0.000144651,1.59472,5.60057,+
"CELE_T10C6,6",2.83596,4.77955,H2FLL6;H2FLL7;H2FLL8;H2FLL9;O62376;Q9U372,,Uncharacterized protein,14.2313,13.4817,14.4618,14.3054,11.2048,11.2141,11.2322,11.4853,4.77955,0,2.83596,12.4229,+
"CELE_Y38E10A,22",2.02183,4.10545,H2KMK6,,Uncharacterized protein,16.9741,16.002,16.398,16.545,14.4651,14.3416,14.3665,14.6585,4.10545,0,2.02183,9.48066,+
"CELE_Y48G10A,4",2.98544,3.11652,H2KML6;H2KML7,,Uncharacterized protein,13.8051,13.8306,14.1078,15.0295,10.0786,11.5662,11.4686,11.7179,3.11652,5.77E-05,2.98544,6.26999,+
ain-2,1.54364,2.74399,H2KY58,,ALG-1 INteracting protein,16.875,16.6118,17.1251,17.8722,15.7794,15.4652,15.3446,15.7204,2.74399,0.000197719,1.54364,5.31541,+
ain-2,0.296661,0.638167,H2KY60,,ALG-1 INteracting protein,14.1438,14.3977,14.3128,14.5156,14.5104,14.2465,13.5699,13.8564,0.638167,0.0684943,0.296661,1.33578,
cyp-34a9,3.12624,3.28241,H2KY68;H2KY69,,CYtochrome P450 family,16.3652,15.4951,15.8482,17.0488,12.5251,13.9127,13.1884,12.6261,3.28241,0,3.12624,6.73454,+
pqn-31,3.38497,6.65858,H2KY72;Q7JNW7,,Prion-like-(Q/N-rich)-domain-bearing protein,18.7547,18.9419,18.8431,19.0657,15.6777,15.1839,15.5857,15.6183,6.65858,0,3.38497,25.8793,+
"CELE_F56C9,10",0.675293,0.656417,H2KY88;Q8MQ22,,Uncharacterized protein,14.3557,14.1155,12.7869,14.8737,13.7384,13.3609,12.7541,13.5772,0.656417,0.0643463,0.675293,1.36713,
"CELE_Y25C1A,7",-0.0308678,0.0214563,H2KY99,,Uncharacterized protein,13.7893,13.7631,14.2275,15.6188,13.9361,14.6995,14.064,14.8227,0.0214563,0.895749,-0.0308678,-0.0630226,
unc-82,1.48849,2.67778,H2KYA5,,Uncharacterized protein,19.064,18.2814,18.2957,19.3324,17.4524,16.9894,17.3989,17.1789,2.67778,0.000231193,1.48849,5.15741,+
ttc-7,1.54109,1.95481,H2KYB6,,TeTratriCopeptide repeat domain protein related,12.4395,13.0632,13.1603,14.364,11.3157,11.9529,11.7483,11.8458,1.95481,0.00135556,1.54109,3.62005,+
grld-1,1.14252,1.01795,H2KYB8;H2KYB9,,Glutamate Receptor Level Decreased,14.0606,13.7584,13.5865,14.4605,12.0673,12.7273,12.1022,14.399,1.01795,0.0212135,1.14252,1.97299,+
ajm-1,2.84394,7.84166,H2KYC6,,Apical Junction Molecule,18.6765,18.549,18.4958,18.6017,15.6088,15.6702,15.8507,15.8176,7.84166,0,2.84394,40.8455,+
"C01B10,6",-1.85801,1.85473,H2KYC9;Q8MQF7;V6CLC8,,Uncharacterized protein,13.4454,14.3977,12.7987,14.8831,16.1261,15.2023,15.3453,16.2832,1.85473,0.00178715,-1.85801,-3.42993,+
nra-4,0.180868,0.545564,H2KYE0;Q9UAN9,,Nicotinic Receptor Associated,16.4365,15.7373,15.9099,16.0444,15.8459,15.88,15.7447,15.934,0.545564,0.093289,0.180868,1.1744,
"CELE_R11G1,6",3.14204,5.6173,H2KYE1;Q7Z1P8;Q7Z1P9;Q8MPZ6,,Uncharacterized protein,16.9863,17.4413,17.0333,17.3013,14.0882,14.4331,13.9259,13.7467,5.6173,0,3.14204,17.2709,+
bas-1,-0.0399935,0.0446598,H2KYG4;O45137,,Biogenic Amine Synthesis related,13.7752,14.4175,14.0321,14.9135,14.5776,14.1145,14.706,13.9002,0.0446598,0.791128,-0.0399935,-0.128071,
"C05D9,9",0.79475,1.42128,H2KYG6,,Uncharacterized protein,14.6669,15.0738,15.5765,15.938,14.548,14.7977,14.4574,14.2732,1.42128,0.00633878,0.79475,2.6524,+
"C07A12,7",2.0435,5.49577,H2KYH5;Q95QX5,,Uncharacterized protein,18.0088,17.9251,18.2047,18.4511,16.1342,16.1136,15.9871,16.1808,5.49577,0,2.0435,16.4698,+
"C06G3,5",0.691042,0.794775,H2KYI5;Q86NI2,,Uncharacterized protein,19.7497,18.9771,18.4689,20.3641,18.5424,18.6506,19.0129,18.5896,0.794775,0.0414906,0.691042,1.6014,+
ttr-59,1.26731,3.95845,H2KYJ2,,TransThyretin-Related family domain,17.5423,17.2392,17.2998,17.5747,16.0187,16.1488,15.9532,16.4661,3.95845,0,1.26731,8.92953,+
mtch-1,0.747446,3.14358,H2KYJ5,,MiTochondrial Carrier Homolog,18.0517,18.0466,18.1414,18.1044,17.1875,17.1073,17.4555,17.604,3.14358,5.87E-05,0.747446,6.344,+
tmd-2,2.96105,3.81711,H2KYK4;Q8I7M7,,TropoMoDulin,14.4386,14.2294,13.3768,14.9731,11.4372,11.0663,11.1292,11.5408,3.81711,0,2.96105,8.42636,+
"C39D10,8",1.48604,1.63591,H2KYM0;H2KYM1;Q95QR7,,Uncharacterized protein,14.2684,12.7594,14.3394,14.9388,12.674,12.8737,12.6804,12.1337,1.63591,0.0031122,1.48604,3.02908,+
unc-73,3.56469,4.39494,H2KYM2;H2KYM3;H2KYM4;O61528;Q7JNG4;Q7JNG6;Q95Q51,,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Guanine nucleotide exchange factor UNC-73A;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein,17.3042,16.2993,17.5368,17.3157,13.5092,14.0385,13.5269,13.1225,4.39494,0,3.56469,10.6557,+
vps-45,0.29982,0.25586,H2KYN0,,Related to yeast Vacuolar Protein Sorting factor,14.4396,14.3839,14.4818,14.9804,14.8543,13.9438,13.1313,15.157,0.25586,0.275922,0.29982,0.625285,
acdh-13,-1.37397,0.956738,H2KYN3,,Acyl CoA DeHydrogenase,14.4468,15.2822,15.1323,16.6763,15.7661,17.2298,18.1378,15.8998,0.956738,0.0251125,-1.37397,-1.87133,+
atg-18,4.02513,6.17823,H2KYN5;O16466,,AuTophaGy (Yeast Atg homolog),19.1218,19.188,19.1928,19.557,15.4288,15.5092,15.2238,14.7974,6.17823,0,4.02513,21.485,+
smk-1,3.04654,4.44939,H2KYN6,,SMEK (Dictyostelium Suppressor of MEK null) homolog,15.2249,15.2087,15.9139,15.1754,12.8102,11.9177,12.0243,12.5845,4.44939,0,3.04654,10.891,+
lntl-1,2.27817,4.20739,H2KYP1,,LIN-24 (Twenty-four) Like,16.8013,16.7392,16.5178,17.5457,14.5089,14.6472,14.5634,14.7719,4.20739,0,2.27817,9.8804,+
ncx-2,1.97122,2.04832,H2KYP2;H2KYP4,,Na/Ca eXchangers,16.8656,17.4114,17.3732,17.874,15.062,14.8254,14.9224,16.8297,2.04832,0.000839523,1.97122,3.80197,+
"C10G8,8",1.13737,1.69994,H2KYP5,,Uncharacterized protein,16.6102,15.6357,16.2861,17.3157,15.6052,15.2141,15.2442,15.2346,1.69994,0.00266458,1.13737,3.14442,+
pnk-1,3.59983,1.56208,H2KYP7;Q86NC9,,PaNtothenate Kinase,15.2215,16.1128,15.406,13.24,10.3823,14.2386,9.21872,11.7414,1.56208,0.00403587,3.59983,2.89787,+
"C12D12,1",2.8104,4.53941,H2KYQ2;H2KYQ3;Q17921,,Uncharacterized protein,18.5021,19.2546,18.4504,19.3873,16.1483,16.1515,16.0748,15.9783,4.53941,0,2.8104,11.2904,+
gyg-1,-2.68501,5.83031,H2KYQ5,,Glycogenin-1,14.4958,14.1909,14.2496,14.304,17.0728,16.7542,16.8359,17.3174,5.83031,0,-2.68501,-18.7669,+
vig-1,0.150753,0.230699,H2KYR1,,VIG (Drosophila Vasa Intronic Gene) ortholog,19.391,18.9061,18.861,19.8895,19.2141,19.269,18.8,19.1614,0.230699,0.308313,0.150753,0.572312,
srr-4,3.32973,2.61733,H2KYR4;O44618,,"Serpentine Receptor, class R;Serpentine Receptor, class R",15.9834,15.2775,15.4822,17.4265,13.3377,11.3695,12.9787,13.1648,2.61733,0.00028317,3.32973,5.01601,+
hsp-43,2.14487,5.37441,H2KYS1,,Heat Shock Protein,19.7747,20.1242,20.0187,20.3598,18.0478,17.9114,17.7561,17.9827,5.37441,0,2.14487,15.7055,+
cpna-1,2.22359,4.15678,H2KYS8,,Copine family protein 1,17.1145,16.4244,16.3949,17.1374,14.6286,14.664,14.6384,14.2458,4.15678,0,2.22359,9.68008,+
"npl-4,1",2.08639,6.5089,H2KYU6;Q95QZ7,,NPL (Yeast Nuclear Protein Localization) homolog,17.0958,17.2766,17.1505,17.4027,14.9975,15.2105,15.2163,15.1557,6.5089,0,2.08639,24.423,+
"C25H3,9",0.664157,0.755039,H2KYV1,,Uncharacterized protein,14.747,14.9878,14.7604,16.466,14.4757,14.3439,14.5323,14.9528,0.755039,0.047562,0.664157,1.53462,+
"C18C4,5",1.20975,2.28837,H2KYV8;Q8MNV5,,Uncharacterized protein,16.9263,15.7986,16.0965,15.8388,14.8536,14.7806,14.9351,15.2518,2.28837,0.000539464,1.20975,4.29017,+
ppw-1,-0.0857599,0.0991602,H2KYV9;Q86NJ8,,Piwi-like protein,14.058,14.9627,15.1526,13.9877,14.3598,14.7891,14.5989,14.7562,0.0991602,0.589284,-0.0857599,-0.270465,
"C23H3,2",2.61694,3.158,H2KYX4,,Uncharacterized protein,17.7045,17.1488,17.5247,18.9754,15.4508,15.1039,15.3373,14.9935,3.158,5.91E-05,2.61694,6.38372,+
"C23H5,8",-1.16841,1.51307,H2KYX9;H2KYY0;U4PRA9,,Uncharacterized protein,14.4861,14.3111,13.7861,15.1329,16.1497,15.2698,14.8899,16.0803,1.51307,0.00483901,-1.16841,-2.81176,+
frm-4,2.22782,2.02182,H2KYZ6;H2KYZ7;Q95Q79,,"FERM domain (Protein4,1-ezrin-radixin-moesin) family",16.1964,15.9948,14.7986,17.3444,13.7428,13.4027,13.5929,14.6846,2.02182,0.00103307,2.22782,3.74998,+
"CELE_F55A12,2",-1.7749,0.865621,H2KYZ8,,Uncharacterized protein,14.4037,14.0561,13.9063,14.7925,17.2107,13.133,16.32,17.5946,0.865621,0.0337197,-1.7749,-1.71979,+
