geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value N2_d15_N2_d5,log2FC,Student's T-test Test statistic N2_d15_N2_d5,Sign p-val: 0.05 ,,
lfi-1,-0.112773,0.0875255,H2L0I2,Lin-5 (Five) Interacting protein,15.5469,16.3197,16.1243,17.3729,16.6011,16.864,15.6571,16.6927,0.0875255,0.749693,-0.112773,-0.241141,,,
lfi-1,0.313278,0.953961,H2L0I3,Lin-5 (Five) Interacting protein,19.2474,18.797,18.8778,19.3701,18.7033,18.6091,18.6936,19.0332,0.953961,0.0720778,0.313278,1.86672,,,
hum-8,0.284107,0.371347,H2L0I7;U4PBY2,"Heavy chain, Unconventional Myosin;Heavy chain, Unconventional Myosin",14.0835,13.3932,13.0502,13.305,13.9151,12.9437,12.9745,12.8622,0.371347,0.31732,0.284107,0.855216,,,
"CELE_T06F4,1",1.18655,3.58205,H2L0J0;Q95ZP6,Uncharacterized protein,12.4673,12.1044,12.2754,12.7374,11.3587,11.0099,11.1872,11.2826,3.58205,0.000681818,1.18655,7.64353,+,,
"CELE_Y45G5AL,1",0.9921,2.15225,H2L0K4;Q8WTM0,Uncharacterized protein,16.6826,15.8756,16.2313,16.1138,15.2968,14.8636,15.0689,15.7056,2.15225,0.00599211,0.9921,4.00945,+,,
seu-1,-1.37871,2.80631,H2L0L8;H2L0L9;Q8IU02,Suppressor of Ectopic Unc-5,14.0679,13.3171,13.51,14.1173,15.1093,14.7403,15.1924,15.485,2.80631,0.00213592,-1.37871,-5.46718,+,,
"CELE_Y37E3,17",0.356773,2.19083,H2L0N9,Uncharacterized protein,17.7642,17.7764,17.823,17.4806,17.3452,17.4685,17.3059,17.2976,2.19083,0.00578047,0.356773,4.08794,+,,
"CELE_ZK6,11",-0.501182,1.29278,H2L0Q1;Q6EZG8,Uncharacterized protein,16.7019,16.4661,16.2686,17.0485,17.2928,16.866,16.9742,17.3569,1.29278,0.0333016,-0.501182,-2.43293,+,,
ral-1,0.451513,0.773837,H2L0Q6;Q9N3F8,RAL (Ras-related GTPase) homolog,16.3075,16.0571,16.0445,16.9014,15.8866,15.8627,15.3707,16.3845,0.773837,0.110543,0.451513,1.56625,,,
"CELE_Y71H2AM,20",0.895126,2.187,H2L0S3,Serine/threonine-protein phosphatase 2A activator,12.3228,11.7446,12.2993,12.6651,11.4858,11.1803,11.178,11.6072,2.187,0.00579987,0.895126,4.0801,+,,
"CELE_Y71H2AM,15",-4.36963,6.29021,H2L0S5,Uncharacterized protein,12.5687,11.9245,12.1896,12.7828,16.8145,16.6736,16.7727,16.6833,6.29021,0,-4.36963,-22.4389,+,,
"CELE_Y119D3B,12",-0.270643,0.369897,H2L0S8,Uncharacterized protein,13.9667,13.6594,14.1917,14.5942,14.4838,14.3198,13.7419,14.949,0.369897,0.318465,-0.270643,-0.852441,,,
cyld-1,1.11581,1.94719,H2L265;H2L266;Q7JMS4,CYLinDromatosis (Human disease gene) homolog,13.1199,11.8846,12.1984,12.7593,11.3343,11.0614,11.37,11.7333,1.94719,0.00817051,1.11581,3.6054,+,,
"CELE_F40F8,11",0.578243,1.79532,H2L297;Q0G828,Uncharacterized protein,15.3441,14.9814,15.1917,15.0518,14.4726,14.217,14.607,14.9594,1.79532,0.0113886,0.578243,3.31918,+,,
"CELE_F40F8,5",0.801675,1.40145,H2L2A0;H2L2A1;H2L2A2;H2L2A3;H2L2A4;H2L2A5;H2L2A6,Uncharacterized protein,18.2958,17.6321,17.5075,18.509,17.1475,17.0207,16.8647,17.7048,1.40145,0.0264113,0.801675,2.61827,+,,
"CELE_F19B6,1",-0.19508,0.118878,H2L2A8;Q19583;Q9U3I7,Uridine kinase,12.6715,13.0929,14.4299,15.3272,14.1638,14.0295,14.0642,14.0442,0.118878,0.679199,-0.19508,-0.318999,,,
atn-1,1.03898,2.94108,H2L2C8,AcTiniN,12.5206,12.4187,12.0447,12.5673,11.4569,11.0672,11.2014,11.6698,2.94108,0.00187392,1.03898,5.80597,+,,
tba-1,0.211403,1.04843,H2L2E8;O18688,Tubulin alpha chain,20.5564,20.6147,20.6556,20.5644,20.4382,20.6087,20.3812,20.1174,1.04843,0.0573399,0.211403,2.02364,,,
hmp-2,1.25038,1.59253,H2L2I2;O44326,HuMPback (Dorsal lumps);Beta-catenin-like protein hmp-2,12.9135,13.5739,13.1734,14.7015,12.5076,12.0398,12.1244,12.689,1.59253,0.0178052,1.25038,2.95176,+,,
"CELE_R05A10,1",-1.1813,2.23558,H2L2I9;H2L2J0,Uncharacterized protein,12.466,12.5434,12.1486,12.5002,13.7179,13.2749,13.0939,14.2967,2.23558,0.00513536,-1.1813,-4.18003,+,,
sms-1,0.994772,2.78536,H2L2K5;Q9U3D4,SphingoMyelin Synthase;Phosphatidylcholine:ceramide cholinephosphotransferase 1,12.3387,12.0935,12.1372,12.6472,11.3974,11.1229,11.0702,11.647,2.78536,0.00222598,0.994772,5.41583,+,,
"CELE_Y11D7A,10",0.109247,0.0525636,H8ESE9;H8ESF0;Q9U2R7,Uncharacterized protein,14.31,15.7561,15.5449,16.769,16.3609,16.3668,14.9682,14.2472,0.0525636,0.841732,0.109247,0.149569,,,
"CELE_Y59A8B,19",1.1415,2.97513,H8ESH3;H8ESH4,Uncharacterized protein,12.5275,12.094,12.3418,12.6352,11.2836,10.9409,11.1418,11.6663,2.97513,0.00177432,1.1415,5.89394,+,,
"frm-5,1;frm-5,1;frm-5,2",-0.477059,1.04026,H8W3Y2;Q33BL4;Q9N531,"FERM domain (Protein4,1-ezrin-radixin-moesin) family",12.3249,12.1965,11.7112,12.5653,12.5402,12.5405,12.4858,13.1397,1.04026,0.058431,-0.477059,-2.01006,,,
"CELE_F08B12,4",1.77168,2.8054,H9G2R5,Uncharacterized protein,17.876,17.3146,16.5122,17.6744,15.6606,15.4461,15.3165,15.8674,2.8054,0.00213362,1.77168,5.46494,+,,
idh-1,-1.40061,2.6922,H9G2T4;Q21032,Isocitrate dehydrogenase [NADP],17.6983,18.0922,17.3229,17.8958,19.0505,19.3342,19.6152,18.6118,2.6922,0.00248071,-1.40061,-5.19156,+,,
dur-1,0.742275,2.96895,H9G2T6,Dauer Up-Regulated,12.1682,12.0965,11.9684,12.2401,11.4449,11.1504,11.2505,11.6583,2.96895,0.00184774,0.742275,5.87789,+,,
kin-20,0.761443,1.13377,H9G2V4;Q20471,Protein KINase;Casein kinase I isoform delta,13.6086,13.4832,14.05,14.5581,13.0656,12.7385,12.9535,13.8965,1.13377,0.0470829,0.761443,2.16577,+,,
mdt-28,-1.41541,1.38442,H9G301;O18692,MeDiaTor,12.5485,12.1898,12.1592,12.3715,14.328,12.7509,12.9022,14.9496,1.38442,0.0274854,-1.41541,-2.58904,+,,
"CELE_R13H4,2",0.848172,2.1586,H9G321,Uncharacterized protein,17.6159,17.4356,17.9663,18.323,16.8848,16.8271,17.1066,17.1295,2.1586,0.00591672,0.848172,4.02231,+,,
mpst-3,-0.457163,0.585103,H9G340;H9G341;Q9XTW9,MercaptoPyruvate SulfurTransferase homolog;MercaptoPyruvate SulfurTransferase homolog;Sulfurtransferase,15.6809,14.9062,15.3379,16.1717,16.3471,15.2426,16.0916,16.244,0.585103,0.178126,-0.457163,-1.24382,,,
"CELE_F54B8,4",-0.49198,1.54057,H9G342;O45562,Uncharacterized protein,17.2293,17.0784,16.9414,17.2631,17.3575,17.9738,17.361,17.7878,1.54057,0.0198959,-0.49198,-2.85998,+,,
acl-2,-0.293304,0.238529,I2HA82;Q22267,ACyLtransferase-like;Putative 1-acyl-sn-glycerol-3-phosphate acyltransferase acl-2,17.4993,16.4729,16.1291,16.6349,18.0785,16.7447,16.1475,16.9387,0.238529,0.468909,-0.293304,-0.588929,,,
"CELE_F28C6,8",1.11165,1.64972,I2HA91,Uncharacterized protein,15.479,15.9335,16.6957,16.044,15.5535,15.1564,14.5994,14.3963,1.64972,0.0158246,1.11165,3.05382,+,,
col-184,-1.56787,1.90708,I2HA94;Q19470,COLlagen,14.8104,13.5078,13.9153,13.6779,16.0449,15.0665,14.8717,16.1998,1.90708,0.0087982,-1.56787,-3.5288,+,,
pah-1,0.105645,0.4702,I2HA98;P90925,PhenylAlanine Hydroxylase;Probable phenylalanine-4-hydroxylase 1,16.3257,16.682,16.593,16.6178,16.2787,16.5646,16.4214,16.5312,0.4702,0.242462,0.105645,1.03938,,,
"CELE_F01G4,4",1.04039,0.439225,I2HAE5;Q19104,Uncharacterized protein,14.0499,13.4005,13.3559,13.6414,10.651,11.4519,12.7527,15.4305,0.439225,0.26229,1.04039,0.982653,,,
brp-1,1.14298,2.59486,I2HAF6;Q9U1S2,Bypass of Response to Pheromone in yeast,17.4407,17.2848,17.2598,18.097,16.2877,16.0846,16.6271,16.511,2.59486,0.00279855,1.14298,4.96411,+,,
lec-3,0.816865,3.46399,I2HAG1;Q09581,Galectin;32 kDa beta-galactoside-binding lectin lec-3,18.1781,18.2327,18.4998,18.4641,17.4163,17.7257,17.3903,17.5747,3.46399,0.000796781,0.816865,7.2741,+,,
"C23H5,15",1.03885,0.411293,I2HAH4,Uncharacterized protein,12.4365,12.1883,11.9638,12.6296,9.69621,10.1843,10.6482,14.534,0.411293,0.283758,1.03885,0.930772,,,
"CELE_K07F5,15",-0.864017,0.698651,I7J4C6,Uncharacterized protein,12.6525,13.3922,14.5473,15.0746,14.9036,14.1464,15.3237,14.7491,0.698651,0.132467,-0.864017,-1.43921,,,
"CELE_F54D11,4",-0.0917301,0.1025,J3K004,Uncharacterized protein,15.621,16.1002,14.879,14.9983,15.0207,15.7638,15.5135,15.6674,0.1025,0.713282,-0.0917301,-0.278785,,,
his-57;his-57;his-3;his-35,1.32304,1.90782,J7S164;J7SA65;P09588;Q27485,Histone H2A,19.8321,20.9877,20.577,20.0121,19.0393,18.9209,18.4347,19.7218,1.90782,0.00878511,1.32304,3.5302,+,,
let-526,0.995165,1.96987,J7SA49,Uncharacterized protein,12.4533,12.0842,12.1575,12.7002,11.9705,11.4573,11.0129,10.9739,1.96987,0.00783803,0.995165,3.64905,+,,
"CELE_Y9C9A,16",0.493286,0.428315,J7SF87;Q9N2S1,Uncharacterized protein,11.9975,11.7726,12.2127,12.4031,12.7519,11.5802,10.3417,11.739,0.428315,0.270897,0.493286,0.962475,,,
his-40,0.881977,0.701517,K7ZUH9,Histone H3,10.469,12.0229,11.9803,12.744,11.3597,9.98743,10.6496,11.6915,0.701517,0.131765,0.881977,1.44408,,,
hpo-27,1.27018,3.4799,K8ERU3,Uncharacterized protein,15.5532,16.2038,16.0804,15.6497,14.4671,14.6619,14.7651,14.5124,3.4799,0.000748971,1.27018,7.32301,+,,
"CELE_F42A6,6",-2.29128,0.651513,K8ERU5;U4PBW7,Uncharacterized protein,12.5133,11.1154,7.58831,12.8041,14.9699,9.79675,13.8846,14.5349,0.651513,0.149744,-2.29128,-1.35872,,,
tnt-4,-0.768848,1.10157,K8ERV5,TropoNin T,16.8108,16.6439,16.1319,16.4655,17.4212,16.5074,17.0915,18.1073,1.10157,0.050557,-0.768848,-2.11207,,,
"CELE_F13E9,11",2.42256,3.47428,K8ERZ3;K8ESG8,Uncharacterized protein,13.9763,13.4196,13.1985,14.6086,11.4637,11.2189,11.1999,11.6302,3.47428,0.000741344,2.42256,7.30569,+,,
"CELE_Y105E8A,1",-1.65909,4.71961,K8ES47;Q9NF23,Uncharacterized protein,13.5183,13.516,13.6811,13.6353,15.4773,14.9899,15.0549,15.465,4.71961,0.000223776,-1.65909,-12.1308,+,,
lev-11,-0.199393,0.383805,K8ESC3,Uncharacterized protein,22.1245,22.5279,22.4315,22.1672,22.4545,22.8572,22.779,21.9581,0.383805,0.306355,-0.199393,-0.878964,,,
"atg-4,1",-0.131328,0.229641,K8ESC5;Q9NA30,Cysteine protease,14.457,14.0196,13.8331,13.8891,14.1357,14.0919,13.8133,14.6832,0.229641,0.481501,-0.131328,-0.570058,,,
cth-1,-0.218808,0.384229,K8ESE2;O45391,CystaTHionine gamma lyase,17.5381,16.9687,17.5931,18.0273,17.4007,17.8911,17.9325,17.7782,0.384229,0.305992,-0.218808,-0.879769,,,
"CELE_F13D2,1",6.36712,2.93041,K8ESF0;K8F7Z5,Uncharacterized protein,24.066,24.3251,25.4656,24.4636,15.9973,18.631,20.9478,17.2757,2.93041,0.00184428,6.36712,5.77861,+,,
"CELE_Y16B4A,2",-0.77329,1.70724,K8ESM2,Carboxypeptidase,15.4086,14.7705,15.3257,14.5041,15.4906,15.709,15.9312,15.9712,1.70724,0.0140141,-0.77329,-3.15767,+,,
"CELE_W07E11,1",1.08402,3.13762,K8F7V7,Uncharacterized protein,12.4036,12.1564,12.5705,12.7059,11.3381,11.2123,11.2138,11.736,3.13762,0.00118519,1.08402,6.32766,+,,
"CELE_Y73F8A,24",0.730033,0.903966,K8F7X5;Q9NA35,General transcription factor IIH subunit 4,13.3619,13.177,12.7781,14.3205,12.305,12.7353,13.354,12.323,0.903966,0.0804169,0.730033,1.78363,,,
"CELE_Y69H2,7",0.559565,0.575928,K8F7X9;Q9U1U3,Uncharacterized protein,14.0638,13.5116,15.1347,14.8612,13.6372,13.2353,13.9786,14.482,0.575928,0.182389,0.559565,1.22779,,,
hpo-34,-0.570315,2.81349,K8FDY0,Uncharacterized protein,16.9543,16.8694,17.2841,17.1801,17.5665,17.6935,17.5857,17.7234,2.81349,0.00214984,-0.570315,-5.48485,+,,
"C07E3,3",1.12549,2.8096,K8FDZ1;Q17786,Uncharacterized protein,12.5709,12.1045,12.3087,12.6724,11.4303,10.9176,11.1535,11.6531,2.8096,0.00214286,1.12549,5.47528,+,,
zbp-1,-0.0480874,0.18868,K8FE02;Q21605,Zipcode Binding Protein homolog,15.3484,15.4789,15.7687,15.5733,15.6942,15.5216,15.6437,15.5021,0.18868,0.544005,-0.0480874,-0.480903,,,
"CELE_T16G12,7",-1.82962,2.35726,K8FE09,Serine/threonine-protein phosphatase,12.4855,11.9844,12.225,12.7262,14.0334,13.2089,14.5029,14.9944,2.35726,0.00433486,-1.82962,-4.4364,+,,
"CELE_Y54G2A,75",0.350469,0.743893,L8E6I4,Uncharacterized protein,12.2509,11.989,12.2516,12.7993,11.753,11.7246,12.0129,12.3984,0.743893,0.11864,0.350469,1.51583,,,
"CELE_T23E7,2",0.965057,3.58146,L8E6J9,Uncharacterized protein,12.3417,12.1792,12.0815,12.4808,11.4298,11.1996,11.1081,11.4856,3.58146,0.000680272,0.965057,7.64165,+,,
"CELE_Y69H2,3",1.45964,3.65108,L8E6L7,Uncharacterized protein,19.3781,19.017,19.0407,19.4013,17.8465,17.5154,17.4953,18.1413,3.65108,0.000722892,1.45964,7.86672,+,,
"C09G9,1",-1.40748,3.25197,L8E6N6;L8E712;Q17871,Uncharacterized protein,12.4245,12.1935,12.232,11.672,13.1851,13.6718,13.8217,13.4733,3.25197,0.000945092,-1.40748,-6.64734,+,,
"CELE_F55F10,1",-0.300256,0.654241,L8E6W9,Uncharacterized protein,14.0224,13.699,13.2934,13.9855,13.6439,14.1388,14.1153,14.3034,0.654241,0.148785,-0.300256,-1.3634,,,
"C34D10,2",-0.383651,0.605677,L8E6Y3,Uncharacterized protein,13.7938,13.512,13.6131,14.6786,13.9004,14.5325,14.4232,14.276,0.605677,0.168981,-0.383651,-1.27963,,,
"C54F6,18",3.56332,5.07431,L8E700,Uncharacterized protein,15.1337,15.0656,14.9159,15.8934,11.5367,11.7985,12.0041,11.4162,5.07431,0,3.56332,13.9584,+,,
"CELE_W05H9,1",1.10236,3.26269,L8E833,Uncharacterized protein,17.0978,16.6864,16.5294,16.541,15.3477,15.5815,15.7301,15.7859,3.26269,0.000951424,1.10236,6.67795,+,,
"CELE_F42H10,3;F42H10,3",0.0260527,0.0290441,L8E951;P34416,"Uncharacterized protein;LIM and SH3 domain protein F42H10,3",15.7786,14.8194,15.0176,14.473,15.3961,14.939,14.8362,14.8131,0.0290441,0.910977,0.0260527,0.0846273,,,
"CELE_ZK688,5;ZK688,5",1.34069,2.11202,L8EC34;P34675,"Uncharacterized protein;Uncharacterized protein ZK688,5",13.2886,14.6139,13.9827,13.9697,12.0232,12.7319,12.9836,12.7535,2.11202,0.00638466,1.34069,3.92846,+,,
ifb-2,1.9785,6.53812,M1Z854;Q19286,"Intermediate Filament, B;Intermediate filament protein ifb-2",18.9518,18.7823,18.8096,19.0583,17.0464,16.9323,16.8189,16.8904,6.53812,0,1.9785,24.7008,+,,
npp-8,-1.6704,2.64621,M1Z882,Nuclear Pore complex Protein,12.3756,12.0312,12.3434,12.7044,14.0122,13.529,13.7169,14.8781,2.64621,0.00252791,-1.6704,-5.08322,+,,
pud-4,-2.15944,4.041,M1ZJ62,Protein Up-regulated in Daf-2(Gf),12.4047,12.1766,12.2641,12.7077,13.9621,14.6692,14.8984,14.6611,4.041,0.000350877,-2.15944,-9.2354,+,,
"CELE_Y69A2AR,16",2.77216,2.14071,M1ZJV8;Q95XI7,Uncharacterized protein,12.9055,14.1806,14.6473,14.5842,10.475,11.0391,12.9683,10.7464,2.14071,0.00602086,2.77216,3.98612,+,,
spk-1,0.62482,0.797312,M1ZJY1;Q03563,SR Protein Kinase;Serine/threonine-protein kinase spk-1,14.7603,14.1164,14.2161,13.4761,13.7411,12.8924,13.2364,14.1998,0.797312,0.104243,0.62482,1.60565,,,
afd-1,1.17859,1.19175,M1ZJY5;Q86NJ4;Q9BIC0;Q9BIC1;X5LPU4;X5LX70;X5M5Q5;X5M8U5,AFaDin (Actin filament binding protein) homolog,13.8977,12.9086,13.9803,14.5584,13.2962,11.8205,13.3573,12.1567,1.19175,0.0414102,1.17859,2.26274,+,,
glo-2,-1.03497,2.38746,M1ZK00;O01822,Gut granule LOss;Biogenesis of lysosome-related organelles complex 1 subunit 6,12.538,11.9652,12.2556,12.7213,13.1469,13.1961,13.4306,13.8464,2.38746,0.00415301,-1.03497,-4.50142,+,,
"CELE_Y24F12A,1",0.0211048,0.0179209,N1NTK1;Q9U2Q7,Uncharacterized protein,11.5141,12.1777,12.2151,11.8792,11.6933,12.4641,12.5488,10.9955,0.0179209,0.943691,0.0211048,0.0528393,,,
"C14C10,5",0.841075,2.28885,N1NTN5;Q17971,Uncharacterized protein,15.6972,15.9142,15.8344,16.3066,14.6769,15.3003,15.2907,15.1202,2.28885,0.0049366,0.841075,4.29118,+,,
"CELE_F08H9,4",-5.77525,6.17564,N1NV13;Q19228,Uncharacterized protein,12.4067,12.1805,12.2467,12.7605,18.517,17.9815,17.598,18.599,6.17564,0,-5.77525,-21.4634,+,,
"CELE_F17C11,4",-1.23406,2.85857,N1NVB6;Q19515,Uncharacterized protein,12.5275,11.8483,12.23,12.6774,13.9061,13.5348,13.4305,13.348,2.85857,0.00206583,-1.23406,-5.5968,+,,
lst-4,1.57911,1.5821,N1NVC3;Q8I4E2,Lateral Signaling Target;Sorting nexin lst-4,15.5008,14.9724,14.7621,16.8968,13.2299,14.1185,14.249,14.2183,1.5821,0.0181673,1.57911,2.93327,+,,
rsp-7,1.76273,2.38158,O01159,"Probable splicing factor, arginine/serine-rich 7",16.1577,15.1024,15.5457,16.7073,14.3492,13.9217,13.7217,14.4696,2.38158,0.00421756,1.76273,4.48871,+,,
"CELE_T20D3,2",0.57708,1.00561,O01254,Uncharacterized protein,19.4183,19.0557,19.0945,19.4431,18.701,17.9667,18.7148,19.3207,1.00561,0.063704,0.57708,1.9525,,,
"CELE_T20D3,6",-1.10267,2.53825,O01257,Uncharacterized protein,15.7605,15.6219,15.5021,16.0495,16.9198,16.6122,16.4644,17.3482,2.53825,0.00315351,-1.10267,-4.83494,+,,
"hsp-12,1",0.195818,0.274751,O01263,Heat Shock Protein,15.2924,15.0703,15.0078,15.9134,15.5514,15.0176,14.5876,15.344,0.274751,0.419932,0.195818,0.664291,,,
"CELE_F09C8,1",-1.23398,3.77998,O01300,Uncharacterized protein,15.2913,14.6566,14.748,15.0755,16.1508,16.1628,16.1479,16.2459,3.77998,0.000506887,-1.23398,-8.29833,+,,
cest-1,-0.722757,0.825556,O01302,Carboxylic ester hydrolase,14.329,13.8146,13.0536,14.8251,14.1137,14.9699,14.7281,15.1017,0.825556,0.0973544,-0.722757,-1.65293,,,
"CELE_F02E9,1",-1.37963,3.17817,O01314,Uncharacterized protein,12.4971,11.9402,12.7944,12.7193,13.692,14.0518,13.7242,14.0014,3.17817,0.00118154,-1.37963,-6.4396,+,,
csn-2,0.255025,0.239744,O01422,COP9 signalosome complex subunit 2,15.0193,14.2349,14.6623,14.511,13.928,13.8763,14.0599,15.543,0.239744,0.467453,0.255025,0.591496,,,
"B0207,6",1.07202,2.85726,O01426,Uncharacterized protein,15.6043,15.4478,15.641,15.9985,14.5226,14.3285,15.0375,14.5149,2.85726,0.00205882,1.07202,5.59352,+,,
air-2,1.33238,1.13834,O01427,Aurora/IPL1-related protein kinase 2,15.1874,13.6725,13.4169,14.2393,13.6819,13.3544,12.588,11.5623,1.13834,0.0465475,1.33238,2.17339,+,,
"B0261,7",2.66955,2.7525,O01442,Uncharacterized protein,12.7429,14.9641,14.4886,13.6954,11.1999,11.1908,11.1676,11.6544,2.7525,0.00234881,2.66955,5.33596,+,,
"C03G6,5",0.64437,0.845725,O01454,"UPF0376 protein C03G6,5",17.1601,16.3486,16.3308,15.5355,16.238,15.6903,15.4612,15.4081,0.845725,0.0928501,0.64437,1.68661,,,
"C03G6,17",0.915843,2.38214,O01460,Uncharacterized protein,14.9362,14.9515,15.0721,15.4144,13.7017,14.1926,14.3136,14.5028,2.38214,0.00422741,0.915843,4.48994,+,,
unc-94,0.279165,0.404873,O01479,Tropomodulin,14.739,13.7682,14.6647,15.0157,14.5174,13.9049,14.2007,14.448,0.404873,0.288687,0.279165,0.918742,,,
tyr-4,1.25116,2.4982,O01497,TYRosinase,16.8805,16.6231,16.4071,17.0886,15.6973,14.9859,15.326,15.9853,2.4982,0.00329135,1.25116,4.74489,+,,
stam-1,0.635305,1.39597,O01498,Signal transducing adapter molecule 1,15.7535,14.7866,15.029,15.4046,14.712,14.4393,14.3862,14.895,1.39597,0.0267065,0.635305,2.60886,+,,
rpa-2,-0.43059,1.20928,O01504,60S acidic ribosomal protein P2,20.9266,20.9347,20.2829,20.3163,21.1589,21.0754,20.9546,20.9939,1.20928,0.0397399,-0.43059,-2.29215,+,,
"C48B6,2",-0.0400527,0.083239,O01513,Putative 40S ribosomal protein S4-like,14.9875,14.8051,14.9628,15.1779,14.6028,15.298,14.9734,15.2193,0.083239,0.760769,-0.0400527,-0.230201,,,
"CELE_F19F10,3",-0.59883,1.65535,O01516,Uncharacterized protein,15.1927,15.6576,15.2478,15.9839,15.9702,16.0772,16.2339,16.196,1.65535,0.0157823,-0.59883,-3.06395,+,,
ttr-10,-0.395195,0.670676,O01517,TransThyretin-Related family domain,12.3857,12.1301,12.3239,12.8035,13.3918,13.0003,12.2721,12.5598,0.670676,0.142515,-0.395195,-1.39153,,,
"CELE_F19F10,9",-0.256352,0.589218,O01524,Uncharacterized protein,15.3628,14.796,14.6615,15.3271,15.3639,15.2331,15.0578,15.5179,0.589218,0.176063,-0.256352,-1.251,,,
asp-6,-1.31787,3.25504,O01530,Aspartic protease 6,17.9033,17.5443,18.0532,17.877,19.5872,18.9609,18.843,19.2581,3.25504,0.000948247,-1.31787,-6.6561,+,,
asp-12,1.50722,0.375029,O01531,ASpartyl Protease,12.4888,10.8389,6.44473,12.6131,7.40849,9.54216,7.71065,11.6954,0.375029,0.314475,1.50722,0.862253,,,
asp-5,-1.5898,5.50013,O01532,ASpartyl Protease,17.9447,17.6735,17.6472,17.8699,19.2819,19.2572,19.4347,19.5206,5.50013,0,-1.5898,-16.4979,+,,
aars-2,-0.129447,0.36866,O01541,"Alanine--tRNA ligase, cytoplasmic",18.3305,18.3084,18.3017,18.8652,18.459,18.7547,18.595,18.5149,0.36866,0.319342,-0.129447,-0.850071,,,
cpn-3,-0.688678,2.00942,O01542,CalPoNin,19.599,19.8184,19.5387,20.1186,20.7267,20.6046,20.355,20.1432,2.00942,0.00722782,-0.688678,-3.72576,+,,
mage-1,0.934021,1.2915,O01549,Melanoma-Associated-antiGEn homolog,15.2945,14.3235,14.5997,15.3469,14.1596,14.5444,13.9473,13.1772,1.2915,0.0333317,0.934021,2.43076,+,,
"CELE_F48C1,5",-0.350352,0.576669,O01571,Uncharacterized protein,12.3772,11.7039,12.2272,12.4797,11.9138,12.9626,12.5541,12.7589,0.576669,0.181999,-0.350352,-1.22909,,,
"CELE_F48C1,6",0.0689051,0.245238,O01572,Uncharacterized protein,15.9748,15.8053,15.9889,15.7723,15.6751,15.6943,15.7914,16.1049,0.245238,0.459567,0.0689051,0.603071,,,
npp-11,-1.16898,1.81745,O01576,Nuclear Pore complex Protein,16.5223,15.5419,15.4155,16.0751,16.8696,17.0801,17.6983,16.5826,1.81745,0.0109391,-1.16898,-3.36026,+,,
unc-108,-0.0914173,0.119966,O01577,Uncharacterized protein,17.9948,17.2246,17.4245,18.1526,17.8921,17.503,17.5193,18.2479,0.119966,0.676446,-0.0914173,-0.321639,,,
"F53F10,3",-0.0958948,0.15717,O01578,Probable mitochondrial pyruvate carrier 2,14.607,14.7713,13.7793,14.4515,14.6193,14.4543,14.6463,14.2728,0.15717,0.599473,-0.0958948,-0.409553,,,
"CELE_K09H11,1",0.18233,0.245215,O01590,Uncharacterized protein,12.2195,12.7453,12.8725,13.3103,12.4684,12.0979,12.854,12.9979,0.245215,0.459509,0.18233,0.603023,,,
"CELE_K09H11,7;CELE_F44E7,2;C53A3,2",1.66985,1.50649,O01591;O16247;O44538,Uncharacterized protein,12.4925,12.1189,12.0764,12.7482,11.422,11.1495,11.2105,8.97464,1.50649,0.0214287,1.66985,2.80025,+,,
cysl-3,-0.705927,1.94291,O01592,Cysteine synthase 3,17.2615,17.297,17.24,16.6573,17.7895,17.6904,17.6241,18.1754,1.94291,0.00818161,-0.705927,-3.59719,+,,
"CELE_R08E5,3",-0.394195,0.215503,O01593,Uncharacterized protein,16.0932,16.8024,15.3636,17.8102,17.9501,16.2684,15.8285,17.5991,0.215503,0.501155,-0.394195,-0.539704,,,
nuo-2,0.278837,0.448062,O01602;Q86NC2,NADH Ubiquinone Oxidoreductase,18.3568,17.4715,17.4158,18.39,17.6359,17.4606,17.5957,17.8265,0.448062,0.256256,0.278837,0.998919,,,
"CELE_T10E9,3",-1.31265,1.55092,O01603,Uncharacterized protein,12.1535,12.1371,12.3424,12.4071,13.7584,13.0525,12.7201,14.7598,1.55092,0.019577,-1.31265,-2.87819,+,,
ugt-12,1.08557,2.66789,O01614,UDP-GlucuronosylTransferase,14.4962,14.3242,14.403,13.8806,13.5624,13.029,12.8336,13.3368,2.66789,0.00244937,1.08557,5.13411,+,,
"T19H12,2",-0.835157,1.36301,O01615,Acidic leucine-rich nuclear phosphoprotein 32-related protein 2,17.3715,18.4865,18.5529,18.7906,18.8947,19.1919,19.2779,19.1777,1.36301,0.028698,-0.835157,-2.55241,+,,
inx-12,2.35194,4.18283,O01634,Innexin-12,16.8004,16.7084,16.8304,17.6575,14.8426,14.4066,14.7426,14.5972,4.18283,0.000133891,2.35194,9.78273,+,,
jmjc-1,4.71955,2.47748,O01658,Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66,21.0066,20.4683,20.3525,20.7293,17.1232,17.8879,13.468,15.1995,2.47748,0.00345937,4.71955,4.69871,+,,
hmg-3,-0.0554223,0.0478824,O01683,FACT complex subunit ssrp1-B,14.5329,13.253,14.057,14.6445,14.0633,14.3441,13.5491,14.7525,0.0478824,0.855064,-0.0554223,-0.136875,,,
