geneName,log2FC,pvalue,Protein IDs,Protein.names,log2 rpn6_01,log2 rpn6_02,log2 rpn6_03,log2 ev_01,log2 ev_02,log2 ev_03, -Log.p.value, Student's T-test q-value rpn6_ev,log2FC,Student's T-test Test statistic rpn6_ev,Sign p-val: 0.05 
brp-1,0.471806,0.912476,I2HAF4;I2HAF5;I2HAF6;Q9U1S2;Q67X91,,30.0483,30.0132,29.5517,29.0468,29.5058,29.6451,0.912476,0.111805,0.471806,1.95447,
rps-6,0.45098,0.345581,I2HAF8;Q9NEN6;I2HAF9,40S ribosomal protein S6,29.862,29.5178,29.6351,28.1747,29.9058,29.5815,0.345581,0.519489,0.45098,0.833876,
lec-3,0.576971,0.883105,Q95ZI4;I2HAG1;Q09581;Q8I4A4;Q8I4A5,Galectin;32 kDa beta-galactoside-binding lectin lec-3,32.9708,33.227,32.946,31.8895,32.7486,32.7747,0.883105,0.121341,0.576971,1.8957,
,-2.2021,2.01302,I2HAH4,,23.9527,24.0408,24.1359,27.1505,26.0195,25.5657,2.01302,0.0148702,-2.2021,-4.64404,+
,0.836987,0.618618,I2HAJ8;Q20881,,31.3861,31.6833,31.7621,31.2635,29.5854,31.4716,0.618618,0.235592,0.836987,1.37666,
,-0.772016,0.366164,I7J4C6,,25.6492,28.1916,27.7126,27.1662,28.1639,28.5393,0.366164,0.486808,-0.772016,-0.876249,
,0.0793228,0.14479,J3K004,,29.4805,29.1967,28.7841,29.0571,29.0465,29.1197,0.14479,0.826908,0.0793228,0.389887,
his-35;his-57;his-3,-0.642242,0.214132,Q27485;J7S164;J7SA65;P09588,Histone H2A,23.9721,22.8936,21.9655,24.5451,24.6466,21.5661,0.214132,0.738479,-0.642242,-0.551329,
tnt-4,1.19604,1.45428,O44556;K8ERV5,,31.2042,31.3231,31.2029,29.2877,30.4217,30.4327,1.45428,0.0352234,1.19604,3.13154,+
zbp-1,1.26882,1.13461,Q6A582;K8ERX1;Q21605;K8FE02,,28.6508,28.3443,28.3262,27.4722,26.1677,27.875,1.13461,0.0647394,1.26882,2.41259,
ctg-1,-0.356803,0.775184,K8ES75;K8F7T8;O17907,,26.2952,26.5723,25.8898,26.5676,26.5043,26.7558,0.775184,0.157588,-0.356803,-1.68226,
wah-1,2.35509,2.18322,K8ESD4;Q9U229,,26.6518,27.7314,26.2147,24.4771,24.4425,24.613,2.18322,0.0110551,2.35509,5.19064,+
,-2.13871,2.4145,K8ESH3;K8ESN6;K8F809,,27.8002,28.5276,27.7081,30.2317,29.6943,30.5261,2.4145,0.00858537,-2.13871,-6.01364,+
,-0.736832,0.734819,K8ESM2,Carboxypeptidase,27.2747,28.0318,27.9051,29.2561,27.9803,28.1857,0.734819,0.173186,-0.736832,-1.6032,
lev-11,-0.165079,0.262312,K8FDX2,,30.9199,30.7708,30.2061,30.9785,30.8569,30.5565,0.262312,0.655225,-0.165079,-0.657754,
hpo-34,0.722706,0.425157,Q93636;K8FDY0,,32.1446,32.0044,31.8568,29.8428,32.1062,31.8887,0.425157,0.41446,0.722706,0.995815,
,-1.1302,1.29151,Q17786;K8FDZ1,,25.6962,25.3814,26.6667,27.0294,26.8164,27.2892,1.29151,0.0468747,-1.1302,-2.75505,+
,0.794873,0.439716,L8E833;REV__Q17489,,29.7256,30.6677,29.4443,30.4984,28.2983,28.6562,0.439716,0.396489,0.794873,1.02497,
,-0.25757,0.282304,L8EC28,,26.6103,26.8911,26.8057,26.3862,27.0696,27.6241,0.282304,0.623067,-0.25757,-0.700836,
ifb-2,1.35786,3.64418,M1Z854;Q19286;H2KYU8,Intermediate filament protein ifb-2,33.1515,33.1695,33.0984,31.9823,31.6248,31.7386,3.64418,0.0016,1.35786,12.621,+
,-3.32602,2.2907,N1NTK1;Q9U2Q7,,24.05,24.0873,24.0688,28.5892,26.8493,26.7456,2.2907,0.0104545,-3.32602,-5.56091,+
,0.0883166,0.147663,N1NTN5;Q17971,,27.0602,26.5489,26.4031,26.7776,26.454,26.5156,0.147663,0.823526,0.0883166,0.396813,
gta-1,0.719266,1.61206,N1NVC4;Q21217,"Probable 4-aminobutyrate aminotransferase, mitochondrial",29.424,29.3495,29.5733,28.3495,28.8581,28.9814,1.61206,0.025124,0.719266,3.52087,+
air-2,-1.52375,5.29571,O01427,Aurora/IPL1-related protein kinase 2,24.1193,24.095,24.1637,25.6227,25.5951,25.7315,5.29571,0,-1.52375,-32.9457,+
C03G6.5,0.934814,0.989274,O01454;O16408,UPF0376 protein C03G6.5,29.077,29.1511,28.8959,27.2345,28.5052,28.5797,0.989274,0.0906213,0.934814,2.10991,
rpa-2;rla-1,-4.50454,6.1057,O01504;P91913,60S acidic ribosomal protein P2;60S acidic ribosomal protein P1,24.0981,24.1169,24.0204,28.7322,28.5605,28.4563,6.1057,0,-4.50454,-52.5655,+
pqn-20,-0.383313,0.423015,O01505,,26.3934,25.6956,25.9281,25.7874,26.9149,26.4647,0.423015,0.417076,-0.383313,-0.991515,
C48B6.2,2.44018,5.59707,O01513,Putative 40S ribosomal protein S4-like,26.8207,26.983,26.9389,24.498,24.3976,24.5265,5.59707,0,2.44018,39.2045,+
,1.59527,2.90788,O01524,,31.1242,30.8936,30.9303,29.2022,29.208,29.752,2.90788,0.00282143,1.59527,8.14518,+
aars-2,0.0114104,0.0133401,O01541,"Alanine--tRNA ligase, cytoplasmic",29.4998,29.4993,29.5165,29.9884,29.0091,29.4839,0.0133401,0.982544,0.0114104,0.0403467,
cpn-3,-1.50261,1.59964,O01542,,30.0024,31.1294,31.212,32.6286,32.0088,32.2143,1.59964,0.0251895,-1.50261,-3.48927,+
,-1.11547,1.64352,O01572,,25.715,25.6139,25.0057,26.9163,26.5956,26.1691,1.64352,0.024661,-1.11547,-3.60171,+
unc-108,-0.793447,1.57802,O01577,,31.2037,30.7215,31.2847,32.1542,31.6548,31.7813,1.57802,0.0264141,-0.793447,-3.43465,+
cysl-2;cysl-3,1.23095,1.39296,O45679;O01592,Bifunctional L-3-cyanoalanine synthase/cysteine synthase;Cysteine synthase 3,30.5862,30.6181,31.0075,28.7736,29.645,30.1004,1.39296,0.0393473,1.23095,2.98691,+
nuo-2,0.849363,1.0691,Q86NC2;O01602,,28.6204,27.5304,28.5803,27.5888,27.3862,27.2081,1.0691,0.0735375,0.849363,2.27463,
ugt-12,0.450111,0.424711,O01614,,24.1281,25.0373,25.6743,24.3802,24.5474,24.5617,0.424711,0.414969,0.450111,0.994921,
T19H12.2,-0.646666,1.40899,O01615,Acidic leucine-rich nuclear phosphoprotein 32-related protein 2,27.9685,28.4667,28.4697,28.7969,28.8323,29.2157,1.40899,0.0379175,-0.646666,-3.02438,+
rps-17,2.20032,1.722,O01692,40S ribosomal protein S17,28.895,29.6952,29.6654,26.4637,26.9883,28.2026,1.722,0.0219928,2.20032,3.80835,+
unc-89,0.0967878,0.213589,O01761,Muscle M-line assembly protein unc-89,32.629,32.8786,32.9431,32.4255,32.8506,32.8842,0.213589,0.738975,0.0967878,0.550106,
ncbp-1,-0.491643,0.909264,O01763,Nuclear cap-binding protein subunit 1,28.1273,27.5199,28.2281,28.2236,28.4868,28.6398,0.909264,0.112466,-0.491643,-1.94803,
nekl-2,-0.0611661,0.105714,O01775,Serine/threonine-protein kinase nekl-2,31.6023,31.4251,31.271,31.162,31.8028,31.5173,0.105714,0.867342,-0.0611661,-0.293208,
,0.888544,1.4683,X5M5P2;O01780,,32.5043,32.5079,32.6861,31.1561,31.791,32.0855,1.4683,0.0340118,0.888544,3.1651,+
him-1,0.871184,0.628796,O01789,Structural maintenance of chromosomes protein 1,29.4623,29.1469,27.6814,28.4663,27.7369,27.4739,0.628796,0.230368,0.871184,1.39649,
rpl-7,-0.0521698,0.0329234,O01802,60S ribosomal protein L7,32.5695,33.798,33.9583,34.1045,33.1492,33.2287,0.0329234,0.958292,-0.0521698,-0.0975351,
rab-11.1,-0.653753,2.23087,O01803,,32.3002,32.5834,32.5022,32.9529,33.2572,33.1368,2.23087,0.0108432,-0.653753,-5.35229,+
acbp-1,-0.475318,1.2816,O01805,Acyl-CoA-binding protein homolog 1,32.4688,32.6105,32.3482,33.2602,32.7532,32.8401,1.2816,0.0480561,-0.475318,-2.73287,+
,0.607014,1.28139,O01806,,31.6386,31.9071,32.1161,31.2445,30.9985,31.5978,1.28139,0.0479339,0.607014,2.7324,+
lbp-6,-1.32076,2.83733,O01812,Fatty acid-binding protein homolog 6,31.3734,31.7156,31.8337,32.7804,33.1163,32.9882,2.83733,0.00363948,-1.32076,-7.80449,+
ant-1.2,-2.71808,2.09997,O01813,,28.9988,28.0219,29.3288,30.7438,32.0363,31.7236,2.09997,0.0130348,-2.71808,-4.91747,+
lbp-5,-0.496253,0.754886,O01814,Fatty acid-binding protein homolog 5,25.9588,26.0294,25.1014,26.0995,26.2599,26.219,0.754886,0.165472,-0.496253,-1.64246,
cytb-5.2,-0.208467,0.18356,O01816,,30.15,30.2851,30.7208,30.3711,30.0447,31.3655,0.18356,0.780557,-0.208467,-0.481529,
,-0.458645,0.297828,W6RY49;O01826,,26.7297,25.1793,25.045,26.3706,26.4736,25.4857,0.297828,0.600038,-0.458645,-0.733913,
vet-1,-0.240662,1.29412,O01861,,24.1614,24.1666,24.3627,24.4056,24.4235,24.5837,1.29412,0.0468769,-0.240662,-2.7609,+
nrd-1,5.88017,5.83458,O01864,,30.2654,30.3205,30.6077,24.3664,24.6127,24.574,5.83458,0,5.88017,44.9598,+
rpl-24.1,-0.0715001,0.139116,O01868,60S ribosomal protein L24,31.7136,31.854,31.8652,31.5409,32.1707,31.9356,0.139116,0.830365,-0.0715001,-0.376141,
rps-10,-3.7829,4.43079,O01869,,24.1226,24.0232,24.116,28.1989,27.5526,27.859,4.43079,0,-3.7829,-19.9724,+
pqn-24,0.310473,0.203768,O01876,,31.6437,30.0704,31.6782,30.3207,31.1535,30.9866,0.203768,0.751406,0.310473,0.527885,
mboa-6,0.9282,0.490992,O01925,Lysophospholipid acyltransferase 5,28.1271,27.8805,27.8997,28.6793,26.2815,26.1618,0.490992,0.339939,0.9282,1.12678,
emr-1,2.8773,0.920884,O01971,Emerin homolog 1,30.0731,29.3062,29.5595,29.653,25.3383,25.3157,0.920884,0.109335,2.8773,1.97136,
eif-3.H,1.33337,1.23789,O01974,Eukaryotic translation initiation factor 3 subunit H,29.6874,29.3588,29.5186,28.2626,27.2928,29.0092,1.23789,0.0515594,1.33337,2.63596,
rpl-4,0.242057,1.35232,O02056,60S ribosomal protein L4,31.2108,31.1451,31.1197,31.0726,30.8157,30.8612,1.35232,0.0415659,0.242057,2.89297,+
ptps-1,-0.563035,0.409856,O02058,Putative 6-pyruvoyl tetrahydrobiopterin synthase,27.5692,26.0551,27.4959,27.9703,27.8567,26.9823,0.409856,0.431774,-0.563035,-0.965039,
swsn-2.2,-0.492741,0.983474,O02101,,28.0547,28.1649,27.5664,28.2597,28.2916,28.7129,0.983474,0.0916588,-0.492741,-2.09808,
,0.322444,0.414816,O02141,,31.8822,31.4651,31.2849,30.6629,31.4918,31.5102,0.414816,0.42398,0.322444,0.975032,
tim-44,3.00945,4.43757,O02161,Probable mitochondrial import inner membrane translocase subunit tim-44,27.4157,27.8642,27.4508,24.5249,24.652,24.5254,4.43757,0,3.00945,20.0512,+
,0.0290197,0.0239166,O02208,,29.2949,28.6756,28.6056,29.5035,28.3951,28.5905,0.0239166,0.970396,0.0290197,0.0715177,
cbl-1,-3.248,4.10942,O02215,,24.1422,24.1235,24.0699,27.7067,27.3402,27.0326,4.10942,0.00131707,-3.248,-16.5681,+
gln-6,-0.546891,0.612108,O02225,,27.2139,27.6994,26.9777,27.1997,27.977,28.3549,0.612108,0.238808,-0.546891,-1.36398,
pcp-3,-0.977637,3.10521,O02252,,26.893,26.6156,26.7864,27.6625,27.6843,27.8811,3.10521,0.00158696,-0.977637,-9.17115,+
,-0.153591,0.294781,O02267,,30.0562,29.9611,30.1168,30.581,29.8738,30.14,0.294781,0.604819,-0.153591,-0.727445,
pck-2,1.14391,1.44782,Q7JKI2;O02286;Q7JKI3;Q7JKI1,,31.7462,30.742,31.6879,29.9561,30.5443,30.2438,1.44782,0.0353895,1.14391,3.11612,+
lbp-7,0.483796,0.618898,O02323,Fatty acid-binding protein homolog 7,28.7298,29.0223,29.4014,27.984,28.8992,28.8188,0.618898,0.235248,0.483796,1.37721,
T23D8.3,-0.42326,1.53626,O02327,Protein LTV1 homolog,27.2668,27.0658,26.8988,27.4008,27.4663,27.6342,1.53626,0.0294455,-0.42326,-3.33059,+
eif-3.C,-0.134713,0.729075,O02328,Eukaryotic translation initiation factor 3 subunit C,30.1377,30.1873,30.1477,30.1928,30.4577,30.2264,0.729075,0.174389,-0.134713,-1.59197,
ifa-2,-0.0583204,0.377026,O02365,Intermediate filament protein ifa-2,34.5332,34.5365,34.4719,34.6688,34.5896,34.4582,0.377026,0.47174,-0.0583204,-0.898462,
unc-37,-0.686132,0.809643,O02482,Transcription factor unc-37,24.884,25.0122,25.4569,26.4825,25.3055,25.6235,0.809643,0.144487,-0.686132,-1.75004,
rpl-19,-0.570116,1.41395,O02639,60S ribosomal protein L19,31.7693,31.9926,31.9232,32.8147,32.2575,32.3233,1.41395,0.0375214,-0.570116,-3.03602,+
mdh-2,0.651601,0.243801,O02640,"Probable malate dehydrogenase, mitochondrial",31.9487,31.4073,31.2757,31.6304,32.1985,28.848,0.243801,0.689147,0.651601,0.617329,
gsp-4;gsp-3,2.17178,1.55631,P91420;O02658,Serine/threonine-protein phosphatase,27.5666,25.4,26.7701,24.3665,24.2371,24.6177,1.55631,0.0280379,2.17178,3.38032,+
unc-64,1.76038,3.08891,O16000,Syntaxin-1A homolog,29.4846,29.5938,29.3667,27.3589,27.8667,27.9384,3.08891,0.0015615,1.76038,9.08211,+
lys-7,-0.240756,0.276997,O16202,,27.9694,28.0039,27.9843,28.9237,27.8461,27.91,0.276997,0.630323,-0.240756,-0.689456,
phat-3,3.31226,3.11605,O16225,,28.2991,28.0443,27.1614,24.3236,24.6118,24.6326,3.11605,0.00161326,3.31226,9.23085,+
,0.69876,2.12916,O16226,,31.1005,31.3937,31.4711,30.7367,30.4642,30.6681,2.12916,0.0132658,0.69876,5.01194,+
,0.400726,1.21855,Q8IA89;Q8MXK1;O16249;Q6A598,,30.27,29.9966,29.9627,29.8848,29.6735,29.4689,1.21855,0.0541942,0.400726,2.59354,
,-0.40498,0.658803,O16254,,25.6874,25.2912,25.0399,26.1085,25.3996,25.7253,0.658803,0.210119,-0.40498,-1.45493,
sti-1,0.54336,2.06805,O16259,Stress-induced-phosphoprotein 1,30.175,30.3288,30.3324,29.5535,29.7536,29.8991,2.06805,0.0131223,0.54336,4.81571,+
,0.817417,0.397016,O16266,,29.5891,27.6894,28.0334,26.4293,28.6456,27.7848,0.397016,0.44505,0.817417,0.939093,
F32D1.5,2.13336,2.13883,O16294,Probable GMP reductase,26.8825,27.226,25.826,24.5817,24.4499,24.5028,2.13883,0.0128244,2.13336,5.04356,+
mcm-7,2.10157,2.97192,O16297,DNA helicase,26.231,26.7954,26.4988,24.0357,24.5497,24.6352,2.97192,0.002,2.10157,8.46602,+
hpo-18,-5.21545,3.16183,O16298,,24.0368,24.041,23.8098,28.1348,29.4294,29.9698,3.16183,0.00167816,-5.21545,-9.48677,+
dnj-19,2.09517,1.48872,O16303,,29.5099,29.9672,29.8912,26.4227,28.3731,28.2871,1.48872,0.032911,2.09517,3.21433,+
cmd-1,0.139898,0.149437,O16305;A0A0K3AVX0,Calmodulin,32.5435,33.2053,33.7233,32.9365,33.16,32.956,0.149437,0.823888,0.139898,0.401079,
,1.84157,3.06551,O16311,KRR1 small subunit processome component,27.2033,27.2242,27.4035,25.2042,25.2778,25.8243,3.06551,0.0015288,1.84157,8.95572,+
rpt-2,1.26287,0.76923,O16368,Probable 26S protease regulatory subunit 4,30.8486,30.4352,30.8908,27.9835,30.309,30.0935,0.76923,0.159667,1.26287,1.67058,
,-1.5007,1.97096,O16379,,29.0886,28.3322,28.4952,29.7276,30.5589,30.1317,1.97096,0.0149978,-1.5007,-4.51592,+
ftn-1,2.40742,1.33628,O16453,Ferritin,30.8884,30.2591,31.0185,26.9746,29.7717,28.1974,1.33628,0.0428947,2.40742,2.85628,+
tag-196,0.65336,1.65627,O16454,,29.8407,29.5711,29.5911,28.72,29.2584,29.0644,1.65627,0.0243109,0.65336,3.63479,+
vps-60,-0.309041,0.108473,O16458,,24.2327,27.3162,27.2969,26.5382,26.4513,26.7833,0.108473,0.865439,-0.309041,-0.300199,
grd-5,0.540877,1.02961,O16462,,29.1631,29.16,29.2627,29.137,28.4793,28.3467,1.02961,0.0816051,0.540877,2.19271,
,-1.45716,2.02949,O16465,,27.2629,26.3487,26.4483,27.9462,28.1521,28.333,2.02949,0.0141843,-1.45716,-4.69494,+
cyp-33c9,-1.03025,3.91858,O16482,,24.0499,24.1103,24.1419,25.0791,25.0553,25.2583,3.91858,0.00106931,-1.03025,-14.8223,+
atp-4,-0.0428499,0.0282685,O16517,,30.2299,31.811,31.5644,31.1577,31.5087,31.0676,0.0282685,0.964717,-0.0428499,-0.0841472,
alh-4,1.94184,2.1095,Q8MXJ7;O16518;Q86S57,Aldehyde dehydrogenase,29.2099,29.1454,29.345,26.5203,27.7516,27.6029,2.1095,0.0131658,1.94184,4.94814,+
erfa-1,1.03352,1.18654,O16520,Eukaryotic peptide chain release factor subunit 1,29.5738,28.7941,28.9488,28.738,27.7407,27.7374,1.18654,0.0569632,1.03352,2.52395,
hpo-19,0.489393,0.491176,O16521,NADH-cytochrome b5 reductase,27.7841,27.0431,26.6266,27.1612,26.599,26.2255,0.491176,0.340199,0.489393,1.12714,
ttr-37,-0.07923,0.0885849,O16586,,28.1698,28.8086,29.1819,28.9173,28.5645,28.9161,0.0885849,0.887203,-0.07923,-0.249194,
pat-6,0.881163,1.87235,O16785,Paralyzed arrest at two-fold protein 6,30.2615,30.968,30.6946,29.7276,29.7241,29.8288,1.87235,0.0164868,0.881163,4.22562,+
pqbp-1.1,0.833935,2.26413,O16786,,25.2029,25.6877,25.2945,24.5349,24.6285,24.5198,2.26413,0.0107845,0.833935,5.46746,+
,1.31104,1.57787,O16997,,29.2174,28.9174,28.5494,26.9473,28.0485,27.7553,1.57787,0.0263718,1.31104,3.43428,+
mrpl-4,0.695196,1.23086,O17005,,25.6106,24.7422,25.1227,24.351,24.6299,24.409,1.23086,0.0528894,0.695196,2.62051,
,-0.417867,0.457972,O17065,,27.7721,27.2395,26.7463,28.1329,27.6428,27.2358,0.457972,0.374993,-0.417867,-1.06136,
rpt-4,0.257033,1.10004,O17071,Probable 26S protease regulatory subunit 10B,30.2144,29.92,29.8923,29.7987,29.7803,29.6766,1.10004,0.0693958,0.257033,2.33947,
clec-3,1.30285,1.6365,O17155,,25.3422,25.469,26.4482,24.2501,24.5628,24.538,1.6365,0.0249158,1.30285,3.58357,+
fum-1,0.664427,1.73369,O17214;Q8ITZ0,"Probable fumarate hydratase, mitochondrial",32.0078,31.862,31.8948,30.9281,31.3685,31.4746,1.73369,0.0214552,0.664427,3.83976,+
tomm-22,-0.198888,0.245213,O17287,,26.8768,27.3226,27.2934,27.9271,26.9943,27.168,0.245213,0.686997,-0.198888,-0.620432,
,1.05933,1.6443,O17327,,25.6763,26.0212,25.0248,24.4531,24.5269,24.5643,1.6443,0.0247031,1.05933,3.60373,+
mct-6,0.437656,0.582065,O17328,,28.1878,28.6571,27.9116,27.9178,27.3302,28.1955,0.582065,0.260598,0.437656,1.3054,
ttr-6,-2.51954,2.44079,O17345,,24.1353,23.8384,24.1522,26.6066,25.8484,27.2295,2.44079,0.0077875,-2.51954,-6.11362,+
srp-2,0.131653,0.799049,O17365,,30.5779,30.7643,30.7285,30.6037,30.614,30.4581,0.799049,0.147558,0.131653,1.72917,
pho-14,-1.15051,2.56968,O17373,,26.0678,26.1019,25.6655,26.9855,27.3006,27.0006,2.56968,0.00690526,-1.15051,-6.62434,+
tag-123,-2.13646,4.78442,O17388,,24.0984,24.0702,24.1385,26.4052,26.1264,26.1849,4.78442,0,-2.13646,-24.5156,+
tth-1,-0.92239,0.825651,O17389,,31.0073,30.6582,29.4352,30.896,31.5672,31.4047,0.825651,0.138192,-0.92239,-1.78163,
attf-2,-0.923347,1.48468,O17406,,30.0447,30.6766,30.5387,31.723,31.3284,30.9788,1.48468,0.0332735,-0.923347,-3.20456,+
clec-223,-1.16215,2.14346,O17562,,25.5874,25.0306,25.5203,26.7655,26.2613,26.5979,2.14346,0.0121637,-1.16215,-5.05874,+
rpl-38,0.607243,0.341407,O17570,60S ribosomal protein L38,31.9923,32.593,32.6374,30.4004,32.3429,32.6577,0.341407,0.524765,0.607243,0.825235,
pas-1,0.831624,2.55175,O17586,Proteasome subunit alpha type-6,29.6811,29.7666,29.7837,28.7413,29.1507,28.8447,2.55175,0.00673973,0.831624,6.55118,+
,2.78766,2.47223,O17591,,28.634,28.6843,28.6614,24.9882,26.2007,26.4278,2.47223,0.00809091,2.78766,6.235,+
,0.215047,0.289986,O17606,UPF0160 protein C27H6.8,30.7972,30.7248,30.6195,29.9086,30.8147,30.7731,0.289986,0.610008,0.215047,0.717243,
ruvb-1,-0.0834109,0.102492,O17607,,30.745,30.3884,31.1293,30.4393,31.0622,31.0114,0.102492,0.871274,-0.0834109,-0.285011,
C29F7.3,2.1362,1.68893,O17622,UMP-CMP kinase 1,30.0761,29.998,29.5293,28.827,27.1422,27.2257,1.68893,0.0238799,2.1362,3.72038,+
,0.625149,1.5229,O17626,,30.4086,29.825,30.2586,29.5243,29.4205,29.6719,1.5229,0.0312581,0.625149,3.29769,+
idh-2,2.39511,1.48618,O17643,Isocitrate dehydrogenase [NADP],29.5546,29.3351,29.033,25.4544,27.5466,27.7363,1.48618,0.0330435,2.39511,3.2082,+
sams-1;sams-5;sams-4,-0.785097,2.58007,O17680;Q27522;P50306,Probable S-adenosylmethionine synthase 1;Probable S-adenosylmethionine synthase 5;Probable S-adenosylmethionine synthase 4,30.417,30.1722,30.5375,31.0812,31.1534,31.2474,2.58007,0.00700356,-0.785097,-6.66706,+
nasp-2,-0.277404,0.277258,O17687,,31.609,31.75,31.9589,31.2912,32.2812,32.5778,0.277258,0.63088,-0.277404,-0.690016,
ril-1,-0.963311,0.896376,O17694,,29.9491,29.2972,29.5966,29.649,31.0559,31.028,0.896376,0.11612,-0.963311,-1.92221,
,-2.54983,1.39835,O17725,,26.4616,27.8664,27.4729,30.7757,30.3137,28.3611,1.39835,0.0389818,-2.54983,-2.99948,+
,-0.329924,0.334872,O17729,,27.4206,27.6875,27.0124,26.994,28.0075,28.1088,0.334872,0.535454,-0.329924,-0.811671,
tkt-1,0.920794,1.42739,O17759,,31.4816,31.52,31.5256,30.0155,30.7209,31.0285,1.42739,0.0363391,0.920794,3.06768,+
F37H8.5,-0.665958,1.01724,O17861,GILT-like protein F37H8.5,31.2668,31.5087,31.5382,32.6878,31.7384,31.8855,1.01724,0.0833962,-0.665958,-2.16723,
,-0.914598,2.16202,O17891,,31.1995,31.3814,31.4246,32.5755,32.0437,32.1301,2.16202,0.0111503,-0.914598,-5.11998,+
,-0.827684,1.11881,O17892,,28.3921,27.6211,27.471,28.2666,28.7776,28.9231,1.11881,0.0677508,-0.827684,-2.37908,
,0.996977,1.67765,O17893,,30.6584,30.5312,29.8905,29.3772,29.1337,29.5782,1.67765,0.0240209,0.996977,3.69067,+
F59E10.3,2.22468,1.22964,O17901,Probable coatomer subunit zeta,27.4205,30.0648,29.3932,26.1308,27.0976,26.9761,1.22964,0.0527598,2.22468,2.61782,
ran-1,0.794459,0.750871,O17915,GTP-binding nuclear protein ran-1,32.9744,33.0667,33.0456,31.2649,32.6825,32.7559,0.750871,0.166437,0.794459,1.6346,
rnf-113,-0.386484,0.560051,O17917,RING finger protein 113 homolog,26.7059,26.3014,26.9557,26.5626,27.2544,27.3054,0.560051,0.279251,-0.386484,-1.2624,
tbb-1,-0.148678,0.100495,O17921,,31.4788,31.7915,31.65,32.8349,31.2335,31.2979,0.100495,0.872301,-0.148678,-0.279912,
aipl-1,-0.339907,0.226316,O17939,,26.9106,28.6909,27.2196,27.5848,28.3068,27.9494,0.226316,0.719616,-0.339907,-0.578625,
,1.07982,1.64106,Q564S2;O17944,,26.0207,25.025,25.7757,24.5086,24.5019,24.5713,1.64106,0.0246497,1.07982,3.59534,+
dld-1,0.548501,0.590361,O17953,"Dihydrolipoyl dehydrogenase, mitochondrial",32.3355,32.4214,32.5136,31.1384,31.9241,32.5625,0.590361,0.252697,0.548501,1.32159,
arrd-14,0.983763,1.64732,O17983,,28.2879,28.4026,28.5927,27.7919,26.9412,27.5988,1.64732,0.0246724,0.983763,3.61154,+
pes-9,2.08969,1.54681,O18000,,28.8122,29.2543,28.76,28.0513,26.3577,26.1484,1.54681,0.0288,2.08969,3.35671,+
pfd-3,1.02474,3.06417,O18054,Probable prefoldin subunit 3,29.2135,29.1422,29.4,28.3237,28.058,28.2998,3.06417,0.00152083,1.02474,8.9485,+
,-0.476524,2.44564,Q1ZXS4;O18092,,28.0625,27.9815,28.0695,28.5967,28.37,28.5763,2.44564,0.00783648,-0.476524,-6.13222,+
,-0.953416,1.10929,O18224,,28.3798,28.5878,28.6229,28.6935,29.9468,29.8105,1.10929,0.0683722,-0.953416,-2.35896,
coq-3,3.34947,4.8323,O18235,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",27.6971,28.1224,28.0443,24.5789,24.5835,24.6529,4.8323,0,3.34947,25.2045,+
rps-18,0.406532,0.466632,O18240,,33.5052,33.7635,33.2349,32.4058,33.459,33.4192,0.466632,0.365336,0.406532,1.07856,
frg-1,-0.109481,0.0512518,O18282,Protein FRG1 homolog,28.2679,27.7451,26.1552,26.7631,27.845,27.8886,0.0512518,0.934892,-0.109481,-0.149106,
,-0.803005,1.30046,O18307,,26.3193,26.071,26.5053,27.5943,27.0021,26.7082,1.30046,0.0461082,-0.803005,-2.77517,+
rps-19,-0.0342369,0.104046,O18650,40S ribosomal protein S19,34.3616,34.6227,34.5389,34.6765,34.3709,34.5786,0.104046,0.870053,-0.0342369,-0.288968,
,2.3753,3.35611,O44133,,28.604,27.9058,28.3892,25.7984,25.8898,26.0849,3.35611,0.0019085,2.3753,10.6485,+
perm-4,0.477947,0.1579,O44144,,27.6314,27.4595,27.5206,24.8512,28.6067,27.7198,0.1579,0.814933,0.477947,0.421306,
perm-2,0.365583,1.02041,O44145,,29.5035,29.3271,29.3884,28.7629,29.3173,29.042,1.02041,0.0831672,0.365583,2.17375,
rfc-2,0.747142,1.26356,O44175,,27.1556,26.9118,27.242,26.0073,26.8627,26.198,1.26356,0.0488421,0.747142,2.6927,+
F37C4.5,0.283444,0.440263,O44400,Protein F37C4.5,32.471,32.0724,32.1994,31.4903,32.0629,32.3393,0.440263,0.395804,0.283444,1.02606,
kgb-1,1.42091,1.63656,O44408,Mitogen-activated protein kinase,26.8361,27.3037,26.9692,26.0847,24.8824,25.8791,1.63656,0.0249578,1.42091,3.58373,+
T07A9.9,0.69427,0.706398,O44411,Probable nucleolar GTP-binding protein 1,29.7146,29.6976,29.3155,28.0248,29.264,29.3561,0.706398,0.18495,0.69427,1.5477,
May-02,-0.135237,0.663437,O44441,"ATPase inhibitor mai-2, mitochondrial",31.7547,31.9265,32.0124,32.135,32.0065,31.9579,0.663437,0.207732,-0.135237,-1.46396,
C02B10.3,0.435507,1.67024,O44443,EGF-like domain-containing protein C02B10.3,29.4527,29.327,29.2982,28.7421,29.1181,28.9112,1.67024,0.0238544,0.435507,3.67124,+
,0.2493,0.30889,O44444,,31.5198,31.1197,31.1339,30.4111,31.3841,31.2303,0.30889,0.582246,0.2493,0.757297,
